delegado;memoria;tiempo
delegado 0: ;0.0;2.45932524E8
delegado 1: ;0.0;2.45981042E8
delegado 2: ;12.5;1.06045017E8
delegado 3: ;12.5;1.03282166E8
delegado 4: ;12.5;1.04159637E8
delegado 5: ;12.5;1.01780542E8
delegado 7: ;12.5;1.01928534E8
delegado 6: ;12.5;9.510552E7
delegado 8: ;0.0;9.9615024E7
delegado 9: ;0.0;9.7813514E7
delegado 11: ;0.0;1.01002058E8
delegado 10: ;0.0;1.02319849E8
delegado 12: ;0.0;1.02696048E8
delegado 13: ;0.0;1.01862706E8
delegado 15: ;4.5;9.6661758E7
delegado 14: ;4.5;9.9540662E7
delegado 16: ;4.5;9.5853773E7
delegado 17: ;4.5;9.4553536E7
delegado 18: ;4.5;1.01895864E8
delegado 19: ;4.5;9.9612099E7
delegado 20: ;2.0;9.5428081E7
delegado 21: ;2.0;9.3335219E7
delegado 22: ;2.0;1.01670827E8
delegado 23: ;2.0;1.01733243E8
delegado 25: ;2.0;9.767942E7
delegado 24: ;2.0;9.9630628E7
delegado 26: ;0.0;1.063076E8
delegado 27: ;0.0;1.04165975E8
delegado 28: ;0.0;9.7265187E7
delegado 29: ;0.0;9.5694565E7
delegado 31: ;0.0;1.0087357E8
delegado 30: ;0.0;1.02193068E8
delegado 33: ;6.2;1.04031637E8
delegado 32: ;6.2;1.04958845E8
delegado 35: ;6.2;1.02799179E8
delegado 34: ;6.2;1.05822175E8
delegado 37: ;6.2;1.00598553E8
delegado 36: ;6.2;1.01713007E8
delegado 39: ;0.0;9.9779108E7
delegado 38: ;0.0;1.01499917E8
delegado 41: ;0.0;9.7211793E7
delegado 40: ;0.0;9.8616136E7
delegado 42: ;0.0;1.01556481E8
delegado 43: ;0.0;1.05587143E8
delegado 44: ;3.8;1.01999727E8
delegado 45: ;3.8;1.05068559E8
delegado 46: ;3.8;9.9125699E7
delegado 47: ;3.8;9.7066239E7
delegado 48: ;3.8;9.918982E7
delegado 49: ;3.8;1.0022211E8
delegado 50: ;3.1;9.6868265E7
delegado 51: ;3.1;9.9980008E7
delegado 52: ;3.1;9.8555427E7
delegado 53: ;3.1;9.5900584E7
delegado 54: ;3.1;1.01718615E8
delegado 55: ;3.1;9.8744867E7
delegado 56: ;6.6;9.8003687E7
delegado 57: ;6.6;9.9931734E7
delegado 58: ;6.6;1.01751285E8
delegado 59: ;6.6;1.01073006E8
delegado 60: ;6.6;1.03293625E8
delegado 61: ;6.6;1.04695531E8
delegado 62: ;14.1;1.00947688E8
delegado 63: ;14.1;9.590546E7
delegado 64: ;14.1;1.03268025E8
delegado 65: ;14.1;9.8940403E7
delegado 66: ;14.1;9.8437424E7
delegado 67: ;14.1;9.857737E7
delegado 68: ;5.2;1.01449448E8
delegado 69: ;5.2;9.8863846E7
delegado 70: ;5.2;1.03367256E8
delegado 71: ;5.2;1.01084221E8
delegado 72: ;5.2;1.01161997E8
delegado 73: ;5.2;1.02678736E8
delegado 74: ;5.5;9.88224E7
delegado 75: ;5.5;8.9965769E7
delegado 76: ;5.5;1.03546456E8
delegado 77: ;5.5;9.2527477E7
delegado 78: ;5.5;1.00145311E8
delegado 79: ;5.5;9.336155E7
