delegado;memoria;tiempo
delegado 1: ;0.0;2.52396893E8
delegado 0: ;0.0;2.52313754E8
delegado 2: ;0.0;1.04483904E8
delegado 3: ;0.0;1.04203035E8
delegado 4: ;11.7;1.01187841E8
delegado 5: ;11.7;9.9803977E7
delegado 6: ;11.7;1.03024703E8
delegado 7: ;11.7;1.01608169E8
delegado 8: ;2.2;1.01828329E8
delegado 9: ;2.2;1.00553935E8
delegado 10: ;2.2;1.06093535E8
delegado 11: ;2.2;1.03466243E8
delegado 13: ;2.2;9.6159998E7
delegado 12: ;2.2;9.7945172E7
delegado 15: ;0.0;1.01706668E8
delegado 14: ;0.0;1.03803187E8
delegado 16: ;0.0;1.05184857E8
delegado 17: ;0.0;1.03513785E8
delegado 18: ;0.0;1.02801129E8
delegado 19: ;0.0;1.01478949E8
delegado 21: ;0.0;9.5397117E7
delegado 20: ;0.0;9.90055E7
delegado 22: ;0.0;1.01763475E8
delegado 23: ;0.0;1.00296229E8
delegado 25: ;0.0;1.01057646E8
delegado 24: ;0.0;1.02485396E8
delegado 27: ;0.0;1.01043749E8
delegado 26: ;0.0;1.01601829E8
delegado 29: ;0.0;1.01391178E8
delegado 28: ;0.0;1.02023133E8
delegado 30: ;0.0;9.7441461E7
delegado 31: ;0.0;9.5463434E7
delegado 32: ;4.1;9.945411E7
delegado 33: ;4.1;9.8237499E7
delegado 35: ;4.1;9.9974644E7
delegado 34: ;4.1;1.01356557E8
delegado 37: ;4.1;9.6052965E7
delegado 36: ;4.1;1.02075308E8
delegado 39: ;0.0;1.01266104E8
delegado 38: ;0.0;9.6508645E7
delegado 40: ;0.0;1.04094052E8
delegado 41: ;0.0;1.01340953E8
delegado 43: ;0.0;9.8923336E7
delegado 42: ;0.0;1.00442271E8
delegado 44: ;4.1;1.00108983E8
delegado 45: ;4.1;9.8163381E7
delegado 47: ;4.1;9.7268844E7
delegado 46: ;4.1;9.8219214E7
delegado 49: ;4.1;1.0027258E8
delegado 48: ;4.1;1.0315319E8
delegado 51: ;0.0;1.02404694E8
delegado 50: ;0.0;1.04025786E8
delegado 52: ;0.0;1.03464779E8
delegado 53: ;0.0;1.02947903E8
delegado 55: ;0.0;9.9529448E7
delegado 54: ;0.0;1.01133471E8
delegado 57: ;0.0;1.00811643E8
delegado 56: ;0.0;1.02735544E8
delegado 58: ;0.0;1.01382644E8
delegado 59: ;0.0;9.3314739E7
delegado 60: ;0.0;1.01153707E8
delegado 61: ;0.0;1.00414476E8
delegado 63: ;0.0;9.9225173E7
delegado 62: ;0.0;1.00996694E8
delegado 64: ;0.0;1.0248052E8
delegado 65: ;0.0;9.8238963E7
delegado 66: ;0.0;1.04197427E8
delegado 67: ;0.0;1.0403115E8
delegado 68: ;8.3;1.02008991E8
delegado 69: ;8.3;9.8393538E7
delegado 70: ;8.3;1.04499264E8
delegado 71: ;8.3;9.0087431E7
delegado 72: ;8.3;9.8598338E7
delegado 73: ;8.3;1.00979384E8
delegado 74: ;8.7;1.00260145E8
delegado 75: ;8.7;9.5303494E7
delegado 76: ;8.7;9.9232487E7
delegado 77: ;8.7;9.7167175E7
delegado 78: ;8.7;1.00187734E8
delegado 79: ;8.7;9.889798E7
