delegado;memoria;tiempo
delegado 1: ;0.0;2.74883459E8
delegado 0: ;0.0;2.74828114E8
delegado 3: ;0.0;1.01166385E8
delegado 2: ;0.0;1.02160397E8
delegado 5: ;0.0;1.0054077E8
delegado 4: ;0.0;1.01254888E8
delegado 7: ;0.0;9.7043807E7
delegado 6: ;0.0;1.14068793E8
delegado 8: ;8.2;9.9729127E7
delegado 9: ;8.2;1.02137236E8
delegado 10: ;8.2;1.00678278E8
delegado 11: ;8.2;1.30702709E8
delegado 12: ;8.2;1.01362652E8
delegado 13: ;8.2;1.05345771E8
delegado 14: ;7.9;1.00598553E8
delegado 15: ;7.9;1.01308771E8
delegado 16: ;7.9;9.9884678E7
delegado 17: ;7.9;9.6952867E7
delegado 18: ;7.9;1.00665357E8
delegado 19: ;7.9;1.03683964E8
delegado 20: ;2.5;1.00995231E8
delegado 21: ;2.5;1.00096793E8
delegado 22: ;2.5;9.9220053E7
delegado 23: ;2.5;9.9488731E7
delegado 24: ;2.5;1.0075264E8
delegado 25: ;2.5;9.8997455E7
delegado 26: ;2.4;1.00674622E8
delegado 27: ;2.4;9.7250558E7
delegado 28: ;2.4;9.7162299E7
delegado 29: ;2.4;9.9989273E7
delegado 30: ;2.4;1.02487834E8
delegado 31: ;2.4;1.01613289E8
delegado 32: ;4.5;9.9993905E7
delegado 33: ;4.5;9.930563E7
delegado 34: ;4.5;9.9314651E7
delegado 35: ;4.5;1.00268678E8
delegado 36: ;4.5;1.07048537E8
delegado 37: ;4.5;9.9526278E7
delegado 38: ;4.1;9.3688012E7
delegado 39: ;4.1;9.8202391E7
delegado 40: ;4.1;1.0282039E8
delegado 41: ;4.1;1.02142112E8
delegado 42: ;4.1;9.8707322E7
delegado 43: ;4.1;9.9621851E7
delegado 44: ;2.8;1.01692527E8
delegado 45: ;2.8;1.02475399E8
delegado 46: ;2.8;1.00499078E8
delegado 47: ;2.8;1.00104595E8
delegado 48: ;2.8;1.00415208E8
delegado 49: ;2.8;9.8117545E7
delegado 50: ;2.1;9.6575449E7
delegado 51: ;2.1;1.02085061E8
delegado 52: ;2.1;1.00489814E8
delegado 53: ;2.1;1.01886843E8
delegado 54: ;2.1;9.9192502E7
delegado 55: ;2.1;9.5732599E7
delegado 56: ;3.1;1.0307444E8
delegado 57: ;3.1;9.9130818E7
delegado 58: ;3.1;9.9980252E7
delegado 59: ;3.1;1.02360566E8
delegado 60: ;3.1;9.8739748E7
delegado 61: ;3.1;9.997757E7
delegado 62: ;2.7;1.01275612E8
delegado 63: ;2.7;1.01958767E8
delegado 64: ;2.7;1.00999376E8
delegado 65: ;2.7;9.9276129E7
delegado 66: ;2.7;1.02867446E8
delegado 67: ;2.7;9.9848107E7
delegado 68: ;2.7;1.02080672E8
delegado 69: ;2.7;1.0334068E8
delegado 70: ;2.7;9.7525088E7
delegado 71: ;2.7;1.09333035E8
delegado 72: ;2.7;1.05425984E8
delegado 73: ;2.7;1.03081267E8
delegado 74: ;6.2;9.5622154E7
delegado 75: ;6.2;9.9884678E7
delegado 76: ;6.2;1.02311316E8
delegado 77: ;6.2;1.0253367E8
delegado 78: ;6.2;9.9199329E7
delegado 79: ;6.2;1.00710949E8
