delegado;memoria;tiempo
delegado 0: ;0.0;2.41142151E8
delegado 1: ;0.0;8.9085616E7
delegado 2: ;15.4;8.9997708E7
delegado 3: ;15.4;8.9618828E7
delegado 4: ;5.9;1.028121E8
delegado 5: ;5.9;1.05216308E8
delegado 6: ;5.9;1.05706609E8
delegado 7: ;1.1;1.04220589E8
delegado 8: ;1.1;1.04864734E8
delegado 9: ;1.1;1.00416671E8
delegado 10: ;6.4;1.03253884E8
delegado 11: ;6.4;1.00944275E8
delegado 12: ;6.4;1.03480383E8
delegado 13: ;5.0;1.00586118E8
delegado 14: ;5.0;9.8766079E7
delegado 15: ;5.0;9.8495694E7
delegado 16: ;5.3;9.7859108E7
delegado 17: ;5.3;9.6822916E7
delegado 18: ;5.3;9.0196657E7
delegado 19: ;6.7;1.00180175E8
delegado 20: ;6.7;1.03120764E8
delegado 21: ;6.7;9.9665737E7
delegado 22: ;7.8;1.04136719E8
delegado 23: ;7.8;9.7409278E7
delegado 24: ;7.8;1.14247994E8
delegado 25: ;5.4;9.9842499E7
delegado 26: ;5.4;1.02030691E8
delegado 27: ;5.4;1.00127268E8
delegado 28: ;3.3;1.00671696E8
delegado 29: ;3.3;1.03623256E8
delegado 30: ;3.3;1.00250149E8
delegado 31: ;3.7;1.03704932E8
delegado 32: ;3.7;1.02370805E8
delegado 33: ;3.7;9.5668234E7
delegado 34: ;2.3;1.00525166E8
delegado 35: ;2.3;9.932099E7
delegado 36: ;2.3;9.82887E7
delegado 37: ;3.5;1.0133437E8
delegado 38: ;3.5;1.00271604E8
delegado 39: ;3.5;9.8257492E7
delegado 40: ;4.4;1.02699705E8
delegado 41: ;4.4;9.9176655E7
delegado 42: ;4.4;1.01660587E8
delegado 43: ;4.9;1.00654386E8
delegado 44: ;4.9;1.01337053E8
delegado 45: ;4.9;1.02103589E8
delegado 46: ;3.7;1.00183588E8
delegado 47: ;3.7;1.02001677E8
delegado 48: ;3.7;1.01803216E8
delegado 49: ;0.7;1.00453486E8
delegado 50: ;0.7;9.6914101E7
delegado 51: ;0.7;9.1484703E7
delegado 52: ;3.4;1.02417129E8
delegado 53: ;3.4;9.8054643E7
delegado 54: ;3.4;1.16798486E8
delegado 55: ;3.0;9.8208974E7
delegado 56: ;3.0;1.01857098E8
delegado 57: ;3.0;1.02122851E8
delegado 58: ;3.8;9.931904E7
delegado 59: ;3.8;1.03129053E8
delegado 60: ;3.8;9.607954E7
delegado 61: ;3.1;1.01213928E8
delegado 62: ;3.1;1.00535163E8
delegado 63: ;3.1;9.8077561E7
delegado 64: ;2.4;9.7504608E7
delegado 65: ;2.4;9.8893591E7
delegado 66: ;2.4;1.00476404E8
delegado 67: ;2.7;1.00432519E8
delegado 68: ;2.7;1.00049494E8
delegado 69: ;2.7;9.419733E7
delegado 70: ;0.7;1.0028989E8
delegado 71: ;0.7;9.8323077E7
delegado 72: ;0.7;9.3870381E7
delegado 73: ;4.4;9.7769873E7
delegado 74: ;4.4;9.8488624E7
delegado 75: ;4.4;9.9385112E7
delegado 76: ;2.4;9.6615678E7
delegado 77: ;2.4;1.02839651E8
delegado 78: ;2.4;9.7144989E7
delegado 79: ;5.5;9.952067E7
delegado 80: ;5.5;9.5425399E7
delegado 81: ;5.5;1.00202362E8
delegado 82: ;4.1;9.8476921E7
delegado 83: ;4.1;9.6621042E7
delegado 84: ;4.1;9.8073416E7
delegado 85: ;5.2;1.01943651E8
delegado 86: ;5.2;9.8799237E7
delegado 87: ;5.2;9.8524951E7
delegado 88: ;31.0;9.9330255E7
delegado 89: ;31.0;1.01453593E8
delegado 90: ;31.0;9.9741805E7
delegado 91: ;7.6;9.9646964E7
delegado 92: ;7.6;9.8577371E7
delegado 93: ;7.6;1.02206234E8
delegado 94: ;5.0;9.6818284E7
delegado 95: ;5.0;9.8961859E7
delegado 96: ;5.0;9.9028907E7
delegado 97: ;3.9;9.7700875E7
delegado 98: ;3.9;1.03909975E8
delegado 99: ;3.9;1.00229425E8
delegado 100: ;5.1;1.00425692E8
delegado 101: ;5.1;1.00953539E8
delegado 102: ;5.1;1.00433494E8
delegado 103: ;4.9;1.00859673E8
delegado 104: ;4.9;1.01752017E8
delegado 105: ;4.9;9.9603566E7
delegado 106: ;1.4;1.00079725E8
delegado 107: ;1.4;1.02233296E8
delegado 108: ;1.4;9.8188982E7
delegado 109: ;5.1;1.02139429E8
delegado 110: ;5.1;1.00671208E8
delegado 111: ;5.1;1.01275125E8
delegado 112: ;2.7;9.9438994E7
delegado 113: ;2.7;9.9624777E7
delegado 114: ;2.7;1.15210067E8
delegado 115: ;35.1;9.8851412E7
delegado 116: ;35.1;9.9120823E7
delegado 117: ;35.1;1.00666575E8
delegado 118: ;13.9;1.01895864E8
delegado 119: ;13.9;9.9457036E7
delegado 120: ;13.9;9.745292E7
delegado 121: ;4.5;1.02216474E8
delegado 122: ;4.5;9.8703664E7
delegado 123: ;4.5;9.688265E7
delegado 124: ;3.4;9.1460079E7
delegado 125: ;3.4;1.02998127E8
delegado 126: ;3.4;1.02218912E8
delegado 127: ;3.4;1.01230507E8
delegado 128: ;3.4;9.8381348E7
delegado 129: ;3.4;1.01998995E8
delegado 130: ;5.2;9.8584929E7
delegado 131: ;5.2;1.00187978E8
delegado 132: ;5.2;9.9747657E7
delegado 133: ;2.4;1.00536869E8
delegado 134: ;2.4;1.00049737E8
delegado 135: ;2.4;1.00265265E8
delegado 136: ;4.4;1.02256947E8
delegado 137: ;4.4;9.9378773E7
delegado 138: ;4.4;9.934464E7
delegado 139: ;3.8;1.00981578E8
delegado 140: ;3.8;9.8995992E7
delegado 141: ;3.8;1.03671042E8
delegado 142: ;3.7;9.8857021E7
delegado 143: ;3.7;1.02169174E8
delegado 144: ;3.7;1.00996694E8
delegado 145: ;7.7;1.02874272E8
delegado 146: ;7.7;1.01049601E8
delegado 147: ;7.7;9.8956739E7
delegado 148: ;6.8;9.9809584E7
delegado 149: ;6.8;9.9992442E7
delegado 150: ;6.8;9.8324784E7
delegado 151: ;7.7;1.02163811E8
delegado 152: ;7.7;1.02086767E8
delegado 153: ;7.7;9.9995124E7
delegado 154: ;3.1;1.03028847E8
delegado 155: ;3.1;1.00955734E8
delegado 156: ;3.1;1.150906E8
delegado 157: ;5.0;1.03238036E8
delegado 158: ;5.0;1.00088016E8
delegado 159: ;5.0;9.9444845E7
delegado 160: ;0.3;9.9997318E7
delegado 161: ;0.3;9.953091E7
delegado 162: ;0.3;1.01750554E8
delegado 163: ;9.6;9.8511299E7
delegado 164: ;9.6;1.0310004E8
delegado 165: ;9.6;1.02287423E8
delegado 166: ;8.0;1.01879529E8
delegado 167: ;8.0;1.01243429E8
delegado 168: ;8.0;1.01415803E8
delegado 169: ;5.9;1.0144701E8
delegado 170: ;5.9;1.02247925E8
delegado 171: ;5.9;1.01334126E8
delegado 172: ;5.2;9.9707185E7
delegado 173: ;5.2;1.01619871E8
delegado 174: ;5.2;1.03527682E8
delegado 175: ;5.9;9.612879E7
delegado 176: ;5.9;1.02821366E8
delegado 177: ;5.9;1.01362652E8
delegado 178: ;5.2;1.04901306E8
delegado 179: ;5.2;9.766284E7
delegado 180: ;5.2;1.01838081E8
delegado 181: ;2.8;1.00036571E8
delegado 182: ;2.8;1.01711544E8
delegado 183: ;2.8;1.00629029E8
delegado 184: ;8.9;1.02105052E8
delegado 185: ;8.9;1.02319361E8
delegado 186: ;8.9;9.8511785E7
delegado 187: ;3.8;9.7736227E7
delegado 188: ;3.8;1.15542379E8
delegado 189: ;3.8;1.0416817E8
delegado 190: ;4.3;9.8244326E7
delegado 191: ;4.3;1.01454325E8
delegado 192: ;4.3;1.01236359E8
delegado 193: ;4.8;9.9632579E7
delegado 194: ;4.8;1.04827432E8
delegado 195: ;4.8;9.993149E7
delegado 196: ;2.7;1.00543695E8
