delegado;memoria;tiempo
delegado 0: ;0.0;2.45744546E8
delegado 1: ;20.0;9.812998E7
delegado 2: ;20.0;9.6461102E7
delegado 3: ;20.0;9.3727752E7
delegado 4: ;3.4;9.5865963E7
delegado 5: ;3.4;9.3291333E7
delegado 6: ;3.4;9.4683487E7
delegado 7: ;2.4;9.6624455E7
delegado 8: ;2.4;9.3274998E7
delegado 9: ;2.4;9.2353641E7
delegado 10: ;7.0;9.3012659E7
delegado 11: ;7.0;9.3352773E7
delegado 12: ;7.0;9.1996703E7
delegado 13: ;7.8;1.0395313E8
delegado 14: ;7.8;9.1819698E7
delegado 15: ;7.8;9.2431416E7
delegado 16: ;2.6;9.1532978E7
delegado 17: ;2.6;9.3148461E7
delegado 18: ;2.6;8.9996001E7
delegado 19: ;1.7;9.101025E7
delegado 20: ;1.7;1.05876544E8
delegado 21: ;1.7;9.0877374E7
delegado 22: ;1.5;1.05801939E8
delegado 23: ;1.5;1.02035323E8
delegado 24: ;1.5;1.03603263E8
delegado 25: ;3.2;1.03152459E8
delegado 26: ;3.2;1.05378441E8
delegado 27: ;3.2;1.01653273E8
delegado 28: ;3.4;1.02030447E8
delegado 29: ;3.4;1.01175407E8
delegado 30: ;3.4;1.03081511E8
delegado 31: ;4.0;1.01679848E8
delegado 32: ;4.0;1.00712168E8
delegado 33: ;4.0;9.8192152E7
delegado 34: ;5.3;1.00714118E8
delegado 35: ;5.3;9.820166E7
delegado 36: ;5.3;9.8488136E7
delegado 37: ;10.4;1.01472123E8
delegado 38: ;10.4;9.6421118E7
delegado 39: ;10.4;1.13341265E8
delegado 40: ;6.0;9.8083169E7
delegado 41: ;6.0;9.8309424E7
delegado 42: ;6.0;9.6755869E7
delegado 43: ;3.0;9.4000819E7
delegado 44: ;3.0;9.6040044E7
delegado 45: ;3.0;9.7226665E7
delegado 46: ;2.3;9.7124753E7
delegado 47: ;2.3;9.7347838E7
delegado 48: ;2.3;9.2351203E7
delegado 49: ;4.6;9.3946937E7
delegado 50: ;4.6;9.4754922E7
delegado 51: ;4.6;9.3984484E7
delegado 52: ;6.1;9.4124918E7
delegado 53: ;6.1;9.4221223E7
delegado 54: ;6.1;9.5489521E7
delegado 55: ;3.9;9.2322433E7
delegado 56: ;3.9;9.2721063E7
delegado 57: ;3.9;9.2922937E7
delegado 58: ;2.3;9.0384391E7
delegado 59: ;2.3;1.0577E8
delegado 60: ;2.3;1.05313344E8
delegado 61: ;1.5;1.03597412E8
delegado 62: ;1.5;8.8006515E7
delegado 63: ;1.5;1.04006036E8
delegado 64: ;2.8;1.03353358E8
delegado 65: ;2.8;1.03479652E8
delegado 66: ;2.8;1.03439667E8
delegado 67: ;2.7;1.01365334E8
delegado 68: ;2.7;9.8763885E7
delegado 69: ;2.7;1.01330957E8
delegado 70: ;2.3;1.00337676E8
delegado 71: ;2.3;1.01004739E8
delegado 72: ;2.3;9.9415832E7
delegado 73: ;5.2;9.899014E7
delegado 74: ;5.2;9.7772067E7
delegado 75: ;5.2;9.7262749E7
delegado 76: ;8.3;9.7440486E7
delegado 77: ;8.3;9.8004662E7
delegado 78: ;8.3;9.8017584E7
delegado 79: ;6.3;9.1667317E7
delegado 80: ;6.3;9.2227347E7
delegado 81: ;6.3;9.117409E7
delegado 82: ;6.9;9.3978145E7
delegado 83: ;6.9;9.4348004E7
delegado 84: ;6.9;8.9214592E7
delegado 85: ;4.8;8.9375019E7
delegado 86: ;4.8;9.1047796E7
delegado 87: ;4.8;8.8561181E7
delegado 88: ;6.2;9.0984893E7
delegado 89: ;6.2;8.9901159E7
delegado 90: ;6.2;9.3477847E7
delegado 91: ;3.0;9.1784346E7
delegado 92: ;3.0;9.3219897E7
delegado 93: ;3.0;9.4061284E7
delegado 94: ;2.4;9.1262592E7
delegado 95: ;2.4;9.0615766E7
delegado 96: ;2.4;9.0458021E7
delegado 97: ;31.0;9.2977062E7
delegado 98: ;31.0;9.0255903E7
delegado 99: ;31.0;8.5607428E7
delegado 100: ;8.6;8.683696E7
delegado 101: ;8.6;1.16450082E8
delegado 102: ;8.6;8.1995387E7
delegado 103: ;9.3;8.2749003E7
delegado 104: ;9.3;8.3391685E7
delegado 105: ;9.3;1.18223066E8
delegado 106: ;12.1;1.15287598E8
delegado 107: ;12.1;9.5969095E7
delegado 108: ;12.1;9.2435073E7
delegado 109: ;3.9;1.05435249E8
delegado 110: ;3.9;1.02403719E8
delegado 111: ;3.9;9.6824379E7
delegado 112: ;1.5;1.11930583E8
delegado 113: ;1.5;1.06433894E8
delegado 114: ;1.5;1.03901199E8
delegado 115: ;3.4;1.04280566E8
delegado 116: ;3.4;1.18874526E8
delegado 117: ;3.4;1.21154878E8
delegado 118: ;5.8;1.03268756E8
delegado 119: ;5.8;1.18952789E8
delegado 120: ;5.8;1.21104166E8
delegado 121: ;5.1;8.2914549E7
delegado 122: ;5.1;8.5506003E7
delegado 123: ;5.1;8.4698748E7
delegado 124: ;7.0;8.3296843E7
delegado 125: ;7.0;8.2343303E7
delegado 126: ;7.0;8.4227465E7
delegado 127: ;5.0;9.7691122E7
delegado 128: ;5.0;9.2340232E7
delegado 129: ;5.0;1.04767211E8
delegado 130: ;3.5;1.21293362E8
delegado 131: ;3.5;1.03349214E8
delegado 132: ;3.5;1.17005237E8
delegado 133: ;4.4;1.16858707E8
