delegado;memoria;tiempo
delegado 0: ;0.0;2.31228362E8
delegado 1: ;0.0;1.05882396E8
delegado 2: ;9.6;9.7565804E7
delegado 3: ;9.6;9.534031E7
delegado 4: ;1.4;9.5335433E7
delegado 5: ;1.4;9.4927052E7
delegado 6: ;1.4;9.5365665E7
delegado 7: ;0.9;9.4329475E7
delegado 8: ;0.9;9.2886609E7
delegado 9: ;0.9;9.2712042E7
delegado 10: ;3.9;8.9443773E7
delegado 11: ;3.9;9.3010952E7
delegado 12: ;3.9;9.1961108E7
delegado 13: ;1.3;9.0916383E7
delegado 14: ;1.3;9.1700231E7
delegado 15: ;1.3;9.2087157E7
delegado 16: ;2.9;9.0949541E7
delegado 17: ;2.9;8.8900564E7
delegado 18: ;2.9;1.04434654E8
delegado 19: ;5.9;9.0275651E7
delegado 20: ;5.9;1.05252148E8
delegado 21: ;5.9;1.0639586E8
delegado 22: ;4.8;1.03533533E8
delegado 23: ;4.8;1.01417022E8
delegado 24: ;4.8;1.03673236E8
delegado 25: ;5.3;1.02458576E8
delegado 26: ;5.3;1.00372054E8
delegado 27: ;5.3;1.01437989E8
delegado 28: ;5.5;9.8544943E7
delegado 29: ;5.5;1.01658394E8
delegado 30: ;5.5;9.9543832E7
delegado 31: ;6.4;1.01885381E8
delegado 32: ;6.4;9.9379504E7
delegado 33: ;6.4;9.2485542E7
delegado 34: ;4.1;9.1390106E7
delegado 35: ;4.1;9.1260155E7
delegado 36: ;4.1;9.3777246E7
delegado 37: ;4.1;9.2104712E7
delegado 38: ;4.1;9.023079E7
delegado 39: ;4.1;9.0874936E7
delegado 40: ;5.5;9.2299271E7
delegado 41: ;5.5;9.2845649E7
delegado 42: ;5.5;9.5253513E7
delegado 43: ;6.0;9.0107423E7
delegado 44: ;6.0;8.8314934E7
delegado 45: ;6.0;1.05895317E8
delegado 46: ;3.1;1.04945923E8
delegado 47: ;3.1;1.03037137E8
delegado 48: ;3.1;8.8585562E7
delegado 49: ;3.2;1.0562859E8
delegado 50: ;3.2;8.7810492E7
delegado 51: ;3.2;8.8097212E7
delegado 52: ;2.9;9.0654775E7
delegado 53: ;2.9;8.7926789E7
delegado 54: ;2.9;1.10173203E8
delegado 55: ;1.9;1.048779E8
delegado 56: ;1.9;1.04327622E8
delegado 57: ;1.9;1.04048216E8
delegado 58: ;3.1;1.0250612E8
delegado 59: ;3.1;1.0030915E8
delegado 60: ;3.1;1.02548786E8
delegado 61: ;5.1;1.02924985E8
delegado 62: ;5.1;1.02787476E8
delegado 63: ;5.1;1.00190172E8
delegado 64: ;7.0;9.4525741E7
delegado 65: ;7.0;9.4119555E7
delegado 66: ;7.0;9.2169321E7
delegado 67: ;3.5;9.2756414E7
delegado 68: ;3.5;9.1753137E7
delegado 69: ;3.5;9.022689E7
delegado 70: ;7.4;9.0151309E7
delegado 71: ;7.4;8.9836793E7
delegado 72: ;7.4;8.8979803E7
delegado 73: ;14.8;8.9552511E7
delegado 74: ;14.8;9.2134213E7
delegado 75: ;14.8;1.02761632E8
delegado 76: ;1.3;1.051083E8
delegado 77: ;1.3;1.04929344E8
delegado 78: ;1.3;1.02622416E8
delegado 79: ;1.9;1.04680902E8
delegado 80: ;1.9;1.03736627E8
delegado 81: ;1.9;1.03698593E8
delegado 82: ;2.1;1.0389681E8
delegado 83: ;2.1;1.01880504E8
delegado 84: ;2.1;1.00479818E8
delegado 85: ;4.9;1.00217478E8
delegado 86: ;4.9;1.01690088E8
delegado 87: ;4.9;1.01854173E8
delegado 88: ;7.0;9.8916266E7
delegado 89: ;7.0;1.03809283E8
delegado 90: ;7.0;9.8233356E7
delegado 91: ;3.6;9.8279192E7
delegado 92: ;3.6;9.8744136E7
delegado 93: ;3.6;9.7228128E7
delegado 94: ;4.5;9.9777402E7
delegado 95: ;4.5;9.3937185E7
delegado 96: ;4.5;9.3444933E7
delegado 97: ;0.3;9.3227455E7
delegado 98: ;0.3;9.3891349E7
delegado 99: ;0.3;9.256283E7
delegado 100: ;1.4;9.0532871E7
delegado 101: ;1.4;9.0579682E7
delegado 102: ;1.4;9.1446669E7
delegado 103: ;5.1;9.1496162E7
delegado 104: ;5.1;8.9350637E7
delegado 105: ;5.1;9.1305015E7
delegado 106: ;2.3;9.2975599E7
delegado 107: ;2.3;9.1393762E7
delegado 108: ;2.3;9.2968773E7
delegado 109: ;1.6;9.1269663E7
delegado 110: ;1.6;9.3425184E7
delegado 111: ;1.6;9.1456178E7
delegado 112: ;0.3;9.1118745E7
delegado 113: ;0.3;8.804528E7
delegado 114: ;0.3;1.04050898E8
delegado 115: ;6.1;9.123431E7
delegado 116: ;6.1;8.918826E7
delegado 117: ;6.1;1.04992491E8
delegado 118: ;2.6;8.9548124E7
delegado 119: ;2.6;1.03080292E8
delegado 120: ;2.6;1.05371127E8
delegado 121: ;4.5;1.03803919E8
delegado 122: ;4.5;1.01406294E8
delegado 123: ;4.5;1.03048596E8
delegado 124: ;3.7;1.0085309E8
delegado 125: ;3.7;1.04105754E8
delegado 126: ;3.7;1.00612938E8
delegado 127: ;3.8;1.01609144E8
delegado 128: ;3.8;1.00813105E8
delegado 129: ;3.8;9.8896273E7
delegado 130: ;2.4;1.01110065E8
delegado 131: ;2.4;1.00618545E8
delegado 132: ;2.4;9.3467363E7
delegado 133: ;0.3;9.3703859E7
delegado 134: ;0.3;9.4541102E7
delegado 135: ;0.3;9.3512956E7
delegado 136: ;1.4;9.1963789E7
delegado 137: ;1.4;8.9578599E7
delegado 138: ;1.4;9.1537122E7
delegado 139: ;0.0;9.1878212E7
delegado 140: ;0.0;8.9141692E7
delegado 141: ;0.0;9.2160056E7
delegado 142: ;2.7;9.1497869E7
delegado 143: ;2.7;9.0195438E7
delegado 144: ;2.7;9.3261588E7
delegado 145: ;4.1;9.0687934E7
delegado 146: ;4.1;9.1036825E7
delegado 147: ;4.1;9.3630473E7
