delegado;memoria;tiempo
delegado 0: ;0.0;2.37996519E8
delegado 1: ;9.5;1.06211295E8
delegado 2: ;9.5;9.3429329E7
delegado 3: ;9.5;9.6647861E7
delegado 4: ;2.3;9.6457445E7
delegado 5: ;2.3;9.310555E7
delegado 6: ;2.3;9.4111021E7
delegado 7: ;2.6;9.1587347E7
delegado 8: ;2.6;9.3327417E7
delegado 9: ;2.6;9.3838685E7
delegado 10: ;4.8;9.127649E7
delegado 11: ;4.8;9.2384117E7
delegado 12: ;4.8;9.1890647E7
delegado 13: ;8.7;9.1878456E7
delegado 14: ;8.7;9.1051453E7
delegado 15: ;8.7;8.9729274E7
delegado 16: ;5.5;9.2461649E7
delegado 17: ;5.5;8.9847034E7
delegado 18: ;5.5;1.0519144E8
delegado 19: ;3.8;1.05531554E8
delegado 20: ;3.8;8.9273594E7
delegado 21: ;3.8;1.04307629E8
delegado 22: ;4.8;1.03575225E8
delegado 23: ;4.8;1.03790753E8
delegado 24: ;4.8;1.01599636E8
delegado 25: ;9.9;1.02114561E8
delegado 26: ;9.9;1.02906942E8
delegado 27: ;9.9;1.04928369E8
delegado 28: ;3.5;1.03567667E8
delegado 29: ;3.5;1.03132711E8
delegado 30: ;3.5;1.00259169E8
delegado 31: ;6.7;1.00891855E8
delegado 32: ;6.7;1.02619491E8
delegado 33: ;6.7;1.23522026E8
delegado 34: ;26.2;9.63214E7
delegado 35: ;26.2;9.5287402E7
delegado 36: ;26.2;9.8012463E7
delegado 37: ;3.4;9.8643443E7
delegado 38: ;3.4;9.6300676E7
delegado 39: ;3.4;9.64789E7
delegado 40: ;5.1;9.3926213E7
delegado 41: ;5.1;9.5644827E7
delegado 42: ;5.1;9.4053482E7
delegado 43: ;4.4;9.5431738E7
delegado 44: ;4.4;9.1678776E7
delegado 45: ;4.4;9.2249535E7
delegado 46: ;4.3;9.1152878E7
delegado 47: ;4.3;9.449624E7
delegado 48: ;4.3;9.3691669E7
delegado 49: ;4.5;8.9056115E7
delegado 50: ;4.5;8.9693678E7
delegado 51: ;4.5;9.1513229E7
delegado 52: ;3.4;8.9984787E7
delegado 53: ;3.4;9.0097914E7
delegado 54: ;3.4;9.6473537E7
delegado 55: ;4.2;1.02889388E8
delegado 56: ;4.2;1.18694838E8
delegado 57: ;4.2;1.05496689E8
delegado 58: ;2.8;1.05220941E8
delegado 59: ;2.8;1.03092238E8
delegado 60: ;2.8;1.00656092E8
delegado 61: ;4.9;1.01245136E8
delegado 62: ;4.9;1.02010699E8
delegado 63: ;4.9;9.9809828E7
delegado 64: ;6.2;1.02112611E8
delegado 65: ;6.2;9.9423878E7
delegado 66: ;6.2;9.8500327E7
delegado 67: ;4.4;9.985347E7
delegado 68: ;4.4;9.7379777E7
delegado 69: ;4.4;9.9417295E7
delegado 70: ;2.2;9.3859653E7
delegado 71: ;2.2;9.9796175E7
delegado 72: ;2.2;1.01721052E8
delegado 73: ;3.6;1.01952428E8
delegado 74: ;3.6;9.9786666E7
delegado 75: ;3.6;9.8418651E7
delegado 76: ;2.2;9.8689035E7
delegado 77: ;2.2;9.8115839E7
delegado 78: ;2.2;9.7801325E7
delegado 79: ;1.0;9.9865904E7
delegado 80: ;1.0;1.00500785E8
delegado 81: ;1.0;9.5016287E7
delegado 82: ;3.7;9.7642361E7
delegado 83: ;3.7;9.8094627E7
delegado 84: ;3.7;9.7985157E7
delegado 85: ;4.1;9.8579565E7
delegado 86: ;4.1;1.06461444E8
delegado 87: ;4.1;9.3176743E7
delegado 88: ;3.8;9.4865369E7
delegado 89: ;3.8;9.1702913E7
delegado 90: ;3.8;9.3071416E7
delegado 91: ;2.7;8.9947483E7
delegado 92: ;2.7;8.8412702E7
delegado 93: ;2.7;1.05245321E8
delegado 94: ;4.7;8.8895445E7
delegado 95: ;4.7;9.0605769E7
delegado 96: ;4.7;9.0499712E7
delegado 97: ;3.2;1.01833205E8
delegado 98: ;3.2;1.02256215E8
delegado 99: ;3.2;1.02363003E8
delegado 100: ;1.6;1.02321068E8
delegado 101: ;1.6;1.04307873E8
delegado 102: ;1.6;1.00562713E8
delegado 103: ;2.2;1.02777479E8
delegado 104: ;2.2;1.0258999E8
delegado 105: ;2.2;1.00600991E8
delegado 106: ;2.2;1.02895727E8
delegado 107: ;2.2;1.00827978E8
delegado 108: ;2.2;1.01345098E8
delegado 109: ;3.0;1.01381913E8
delegado 110: ;3.0;1.00904046E8
delegado 111: ;3.0;1.0334068E8
delegado 112: ;1.6;9.730127E7
delegado 113: ;1.6;9.9809829E7
delegado 114: ;1.6;9.9570163E7
delegado 115: ;2.6;1.00029013E8
delegado 116: ;2.6;1.00110445E8
delegado 117: ;2.6;9.3845512E7
delegado 118: ;4.2;9.3620476E7
delegado 119: ;4.2;9.2626708E7
delegado 120: ;4.2;9.3495646E7
delegado 121: ;2.3;9.2557466E7
delegado 122: ;2.3;8.9917982E7
delegado 123: ;2.3;9.2702045E7
delegado 124: ;2.7;9.21347E7
delegado 125: ;2.7;9.2320239E7
delegado 126: ;2.7;9.2272696E7
delegado 127: ;1.7;9.0668428E7
delegado 128: ;1.7;9.4346297E7
delegado 129: ;1.7;9.4075669E7
delegado 130: ;1.0;9.2236369E7
delegado 131: ;1.0;9.1723637E7
delegado 132: ;1.0;9.4113216E7
delegado 133: ;0.7;9.1718517E7
delegado 134: ;0.7;9.2628658E7
delegado 135: ;0.7;9.2129336E7
delegado 136: ;0.6;9.2087157E7
delegado 137: ;0.6;9.1031217E7
delegado 138: ;0.6;9.1051697E7
delegado 139: ;2.0;1.04758434E8
delegado 140: ;2.0;1.05598845E8
delegado 141: ;2.0;1.0481963E8
delegado 142: ;3.0;8.9899209E7
delegado 143: ;3.0;1.05502297E8
delegado 144: ;3.0;1.01588176E8
delegado 145: ;4.4;1.0126586E8
delegado 146: ;4.4;1.00753128E8
delegado 147: ;4.4;1.00828709E8
delegado 148: ;1.8;1.00749227E8
delegado 149: ;1.8;1.0150455E8
delegado 150: ;1.8;9.8846048E7
delegado 151: ;2.9;1.00938911E8
delegado 152: ;2.9;9.8844098E7
delegado 153: ;2.9;1.02229883E8
delegado 154: ;1.6;1.00578073E8
delegado 155: ;1.6;1.00367665E8
delegado 156: ;1.6;9.9811535E7
delegado 157: ;3.0;9.976131E7
delegado 158: ;3.0;9.7646993E7
delegado 159: ;3.0;9.4385063E7
delegado 160: ;6.3;9.4679585E7
delegado 161: ;6.3;9.4595715E7
delegado 162: ;6.3;9.4833186E7
delegado 163: ;1.6;9.3211607E7
delegado 164: ;1.6;9.3479067E7
delegado 165: ;1.6;9.3661192E7
delegado 166: ;0.0;9.3206E7
delegado 167: ;0.0;9.2820049E7
delegado 168: ;0.0;9.0489473E7
delegado 169: ;1.9;8.9182165E7
delegado 170: ;1.9;1.01351681E8
delegado 171: ;1.9;1.02706044E8
delegado 172: ;6.0;1.01802972E8
delegado 173: ;6.0;1.02209891E8
delegado 174: ;6.0;1.05201436E8
delegado 175: ;5.3;1.03172451E8
delegado 176: ;5.3;1.00265752E8
delegado 177: ;5.3;1.01161753E8
delegado 178: ;6.3;1.01305601E8
delegado 179: ;6.3;1.01559163E8
delegado 180: ;6.3;9.9610392E7
delegado 181: ;7.8;9.9408274E7
delegado 182: ;7.8;9.9197135E7
delegado 183: ;7.8;9.9271497E7
delegado 184: ;10.4;9.9600883E7
delegado 185: ;10.4;9.7801812E7
delegado 186: ;10.4;9.8294551E7
delegado 187: ;8.3;9.8175328E7
delegado 188: ;8.3;9.7820098E7
delegado 189: ;8.3;9.7666498E7
delegado 190: ;9.7;9.76743E7
delegado 191: ;9.7;9.0924673E7
delegado 192: ;9.7;9.0955881E7
delegado 193: ;6.2;9.0556764E7
delegado 194: ;6.2;9.2763241E7
delegado 195: ;6.2;9.10595E7
delegado 196: ;6.9;8.8823277E7
delegado 197: ;6.9;9.0521167E7
delegado 198: ;6.9;8.8950545E7
delegado 199: ;6.2;8.8687475E7
