delegado;memoria;tiempo
delegado 0: ;0.0;2.53540604E8
delegado 1: ;10.9;9.778572E7
delegado 2: ;10.9;9.6081003E7
delegado 3: ;10.9;9.6599342E7
delegado 4: ;4.2;9.3471021E7
delegado 5: ;4.2;9.5071143E7
delegado 6: ;4.2;9.5968119E7
delegado 7: ;4.1;9.6888501E7
delegado 8: ;4.1;9.2219302E7
delegado 9: ;4.1;9.1647324E7
delegado 10: ;3.0;9.4862199E7
delegado 11: ;3.0;9.1574669E7
delegado 12: ;3.0;9.5134046E7
delegado 13: ;1.3;9.2973649E7
delegado 14: ;1.3;9.1068521E7
delegado 15: ;1.3;9.2056681E7
delegado 16: ;7.7;8.9108047E7
delegado 17: ;7.7;9.3486625E7
delegado 18: ;7.7;9.3154068E7
delegado 19: ;2.5;9.069988E7
delegado 20: ;2.5;8.8716732E7
delegado 21: ;2.5;1.06006251E8
delegado 22: ;2.5;9.0533602E7
delegado 23: ;2.5;9.0583339E7
delegado 24: ;2.5;1.02715308E8
delegado 25: ;2.6;1.02817952E8
delegado 26: ;2.6;1.04832552E8
delegado 27: ;2.6;1.05687592E8
delegado 28: ;5.2;1.05116833E8
delegado 29: ;5.2;1.0320049E8
delegado 30: ;5.2;1.02561464E8
delegado 31: ;2.8;1.00091917E8
delegado 32: ;2.8;1.00660724E8
delegado 33: ;2.8;1.01449205E8
delegado 34: ;11.2;9.9275154E7
delegado 35: ;11.2;9.9876876E7
delegado 36: ;11.2;9.8843367E7
delegado 37: ;6.5;9.9344395E7
delegado 38: ;6.5;1.0054077E8
delegado 39: ;6.5;9.7742322E7
delegado 40: ;6.6;9.8522757E7
delegado 41: ;6.6;9.7912745E7
delegado 42: ;6.6;9.8566642E7
delegado 43: ;4.5;1.00761174E8
delegado 44: ;4.5;9.6206078E7
delegado 45: ;4.5;9.6066862E7
delegado 46: ;19.9;1.11056037E8
delegado 47: ;19.9;9.761993E7
delegado 48: ;19.9;9.6894109E7
delegado 49: ;11.5;9.591253E7
delegado 50: ;11.5;9.3043622E7
delegado 51: ;11.5;9.5464165E7
delegado 52: ;5.5;9.5317391E7
delegado 53: ;5.5;9.497874E7
delegado 54: ;5.5;1.01338515E8
delegado 55: ;5.2;9.3821375E7
delegado 56: ;5.2;9.3698739E7
delegado 57: ;5.2;9.2680346E7
delegado 58: ;4.7;9.1782395E7
delegado 59: ;4.7;9.0736695E7
delegado 60: ;4.7;9.2616955E7
delegado 61: ;2.4;9.0464117E7
delegado 62: ;2.4;9.2303172E7
delegado 63: ;2.4;9.0384634E7
delegado 64: ;3.6;9.1534685E7
delegado 65: ;3.6;9.2129336E7
delegado 66: ;3.6;1.03821717E8
delegado 67: ;2.9;1.05990891E8
delegado 68: ;2.9;1.06378061E8
delegado 69: ;2.9;9.0313198E7
delegado 70: ;1.0;9.096734E7
delegado 71: ;1.0;1.01275612E8
delegado 72: ;1.0;1.03929969E8
delegado 73: ;2.7;1.03653E8
delegado 74: ;2.7;1.01858318E8
delegado 75: ;2.7;1.01749334E8
delegado 76: ;3.2;1.0060733E8
delegado 77: ;3.2;1.019673E8
delegado 78: ;3.2;1.02300832E8
delegado 79: ;3.2;1.02212816E8
delegado 80: ;3.2;1.02690684E8
delegado 81: ;3.2;9.8983069E7
delegado 82: ;9.1;9.8860434E7
delegado 83: ;9.1;9.8836784E7
delegado 84: ;9.1;9.7997348E7
delegado 85: ;11.8;9.8660022E7
delegado 86: ;11.8;9.7278108E7
delegado 87: ;11.8;9.7624563E7
delegado 88: ;6.9;9.8178498E7
delegado 89: ;6.9;9.819459E7
delegado 90: ;6.9;9.8104136E7
delegado 91: ;4.0;9.9167633E7
delegado 92: ;4.0;9.3985215E7
delegado 93: ;4.0;9.6331884E7
delegado 94: ;6.3;9.3830884E7
delegado 95: ;6.3;9.6728806E7
delegado 96: ;6.3;9.6976028E7
delegado 97: ;2.8;9.2925618E7
delegado 98: ;2.8;9.1905518E7
delegado 99: ;2.8;9.20323E7
delegado 100: ;1.2;9.3524903E7
delegado 101: ;1.2;9.4065916E7
delegado 102: ;1.2;8.9963574E7
delegado 103: ;2.4;9.0849091E7
delegado 104: ;2.4;9.0860306E7
delegado 105: ;2.4;9.0908337E7
delegado 106: ;1.4;9.1560284E7
delegado 107: ;1.4;8.944036E7
delegado 108: ;1.4;1.04495607E8
delegado 109: ;4.2;1.04760627E8
delegado 110: ;4.2;1.03863896E8
delegado 111: ;4.2;1.03522562E8
delegado 112: ;2.6;1.02760657E8
delegado 113: ;2.6;1.01226851E8
delegado 114: ;2.6;1.02943758E8
delegado 115: ;0.8;1.0213309E8
delegado 116: ;0.8;1.01989E8
delegado 117: ;0.8;9.9238827E7
delegado 118: ;3.9;1.00490545E8
delegado 119: ;3.9;1.00341822E8
delegado 120: ;3.9;1.00932816E8
delegado 121: ;3.0;9.9697433E7
delegado 122: ;3.0;9.967622E7
delegado 123: ;3.0;9.8532754E7
delegado 124: ;3.3;9.9153493E7
delegado 125: ;3.3;9.9185676E7
delegado 126: ;3.3;9.9466544E7
delegado 127: ;4.9;9.7295175E7
delegado 128: ;4.9;9.5798184E7
delegado 129: ;4.9;9.4293878E7
delegado 130: ;1.7;9.6367967E7
delegado 131: ;1.7;9.4613513E7
delegado 132: ;1.7;9.5927159E7
delegado 133: ;3.0;9.546002E7
delegado 134: ;3.0;9.3288651E7
delegado 135: ;3.0;9.2030593E7
delegado 136: ;2.0;9.315358E7
delegado 137: ;2.0;9.3201123E7
delegado 138: ;2.0;9.2592818E7
delegado 139: ;4.5;9.2056437E7
delegado 140: ;4.5;9.2642068E7
delegado 141: ;4.5;9.2031081E7
delegado 142: ;3.3;9.3326442E7
delegado 143: ;3.3;8.982436E7
delegado 144: ;3.3;9.2083744E7
delegado 145: ;6.7;8.9136572E7
delegado 146: ;6.7;1.03618379E8
delegado 147: ;6.7;8.843562E7
delegado 148: ;6.9;8.888813E7
delegado 149: ;6.9;9.078692E7
delegado 150: ;6.9;9.3023386E7
delegado 151: ;6.1;9.1593686E7
delegado 152: ;6.1;9.1225534E7
delegado 153: ;6.1;9.2286838E7
delegado 154: ;9.4;9.1467636E7
delegado 155: ;9.4;8.9457426E7
delegado 156: ;9.4;9.0705732E7
delegado 157: ;7.3;8.9848497E7
delegado 158: ;7.3;9.1247964E7
delegado 159: ;7.3;9.0099621E7
delegado 160: ;10.4;8.9554706E7
delegado 161: ;10.4;9.1846273E7
delegado 162: ;10.4;9.2190776E7
delegado 163: ;7.3;9.3170648E7
delegado 164: ;7.3;9.1230654E7
delegado 165: ;7.3;9.3690206E7
delegado 166: ;2.7;9.0721823E7
delegado 167: ;2.7;8.7959215E7
delegado 168: ;2.7;9.0475575E7
delegado 169: ;19.6;1.11305942E8
delegado 170: ;19.6;9.0855675E7
delegado 171: ;19.6;9.0883713E7
delegado 172: ;16.2;1.03714928E8
delegado 173: ;16.2;8.9531788E7
delegado 174: ;16.2;1.0415086E8
delegado 175: ;7.7;8.8896907E7
delegado 176: ;7.7;1.02875247E8
delegado 177: ;7.7;9.3989848E7
delegado 178: ;4.3;9.3966442E7
delegado 179: ;4.3;9.2997055E7
delegado 180: ;4.3;9.273179E7
delegado 181: ;3.4;9.4462351E7
delegado 182: ;3.4;9.0711339E7
delegado 183: ;3.4;9.2081793E7
delegado 184: ;4.9;9.0888588E7
delegado 185: ;4.9;9.0641609E7
delegado 186: ;4.9;9.0730843E7
delegado 187: ;1.3;9.0984893E7
delegado 188: ;1.3;9.1234555E7
delegado 189: ;1.3;9.1516155E7
delegado 190: ;3.7;8.9559826E7
delegado 191: ;3.7;8.9320649E7
delegado 192: ;3.7;8.9323574E7
delegado 193: ;0.9;1.05021017E8
delegado 194: ;0.9;1.05614693E8
delegado 195: ;0.9;1.03075172E8
delegado 196: ;3.2;1.04678708E8
delegado 197: ;3.2;1.05529116E8
delegado 198: ;3.2;1.02935712E8
delegado 199: ;4.2;1.05156331E8
