delegado;maquina;tiempo
delegado 159: ;2.7;8.9582744E7
delegado 160: ;4.2;8.9198012E7
delegado 161: ;4.2;9.0745229E7
delegado 162: ;4.2;8.356284E7
delegado 163: ;13.4;1.02215011E8
delegado 164: ;13.4;1.02448336E8
delegado 165: ;13.4;9.0135217E7
delegado 166: ;3.0;1.05207287E8
delegado 167: ;3.0;1.0599211E8
delegado 168: ;3.0;9.3226723E7
delegado 169: ;0.7;9.1703401E7
delegado 170: ;0.7;1.02125533E8
delegado 171: ;0.7;1.03232185E8
delegado 172: ;18.1;1.06936872E8
delegado 173: ;18.1;8.9054165E7
delegado 174: ;18.1;9.0596504E7
delegado 175: ;16.3;8.9825091E7
delegado 176: ;16.3;9.0174714E7
delegado 177: ;16.3;9.1507378E7
delegado 178: ;3.0;1.01160047E8
delegado 179: ;3.0;1.02370561E8
delegado 180: ;3.0;9.7715747E7
delegado 181: ;3.5;1.01264885E8
delegado 182: ;3.5;9.8288943E7
delegado 183: ;3.5;9.8873843E7
delegado 184: ;4.8;1.03132954E8
delegado 185: ;4.8;9.2179561E7
delegado 186: ;4.8;1.00503954E8
delegado 187: ;5.2;9.6669316E7
delegado 188: ;5.2;1.03138319E8
delegado 189: ;5.2;9.2091301E7
delegado 190: ;3.8;9.6899716E7
delegado 191: ;3.8;1.00802133E8
delegado 192: ;3.8;9.1737046E7
delegado 193: ;3.8;8.9425243E7
delegado 194: ;3.8;9.1892597E7
delegado 195: ;3.8;8.8690644E7
delegado 196: ;1.2;8.9564946E7
delegado 197: ;1.2;1.03893397E8
delegado 198: ;1.2;1.05241665E8
delegado 199: ;2.2;9.9869318E7
delegado 200: ;2.2;1.003072E8
delegado 201: ;2.2;1.00905753E8
delegado 202: ;2.7;1.01940969E8
delegado 203: ;2.7;1.00546377E8
delegado 204: ;2.7;1.02155034E8
delegado 205: ;4.4;9.8003199E7
delegado 206: ;4.4;9.8358186E7
delegado 207: ;4.4;9.923907E7
delegado 208: ;6.1;9.6897765E7
delegado 209: ;6.1;9.732809E7
delegado 210: ;6.1;9.7491686E7
delegado 211: ;21.9;9.4978496E7
delegado 212: ;21.9;9.5168911E7
delegado 213: ;21.9;9.6566916E7
delegado 214: ;10.4;9.732297E7
delegado 215: ;10.4;9.5587533E7
delegado 216: ;10.4;9.3951326E7
delegado 217: ;7.6;9.382552E7
delegado 218: ;7.6;9.3885741E7
delegado 219: ;7.6;9.3264027E7
delegado 220: ;5.0;9.3442739E7
delegado 221: ;5.0;9.3577078E7
delegado 222: ;5.0;9.4383357E7
delegado 223: ;4.6;9.2181512E7
delegado 224: ;4.6;9.2379729E7
delegado 225: ;4.6;9.1039751E7
delegado 226: ;5.6;9.4349223E7
delegado 227: ;5.6;9.2088376E7
delegado 228: ;5.6;8.9971621E7
delegado 229: ;5.2;9.1656833E7
delegado 230: ;5.2;9.0897609E7
delegado 231: ;5.2;9.125601E7
delegado 232: ;4.4;9.110948E7
delegado 233: ;4.4;9.0434371E7
delegado 234: ;4.4;8.930724E7
delegado 235: ;4.3;1.03073708E8
delegado 236: ;4.3;8.8162553E7
delegado 237: ;4.3;8.9440359E7
delegado 238: ;3.3;1.01316084E8
delegado 239: ;3.3;1.00930866E8
delegado 240: ;3.3;1.03061762E8
delegado 241: ;3.1;1.04327866E8
delegado 242: ;3.1;1.03518662E8
delegado 243: ;3.1;1.00767025E8
delegado 244: ;7.5;1.00928671E8
delegado 245: ;7.5;1.0051907E8
delegado 246: ;7.5;1.00683886E8
delegado 247: ;9.7;1.01125426E8
delegado 248: ;9.7;9.2080087E7
delegado 249: ;9.7;9.788934E7
delegado 250: ;4.7;9.836038E7
delegado 251: ;4.7;9.8012708E7
delegado 252: ;4.7;9.7088182E7
delegado 253: ;31.9;9.5237422E7
delegado 254: ;31.9;9.533202E7
delegado 255: ;31.9;9.7888121E7
delegado 256: ;11.0;9.7021133E7
delegado 257: ;11.0;9.5329338E7
delegado 258: ;11.0;9.5771852E7
delegado 259: ;3.8;9.5193292E7
delegado 260: ;3.8;9.3491257E7
delegado 261: ;3.8;9.4327768E7
delegado 262: ;3.7;9.6780005E7
delegado 263: ;3.7;9.6775618E7
delegado 264: ;3.7;9.3442251E7
delegado 265: ;1.6;9.278299E7
delegado 266: ;1.6;9.2461648E7
delegado 267: ;1.6;9.3738967E7
delegado 268: ;2.4;9.2969992E7
delegado 269: ;2.4;9.0508734E7
delegado 270: ;2.4;8.8453905E7
delegado 271: ;2.0;8.9118774E7
delegado 272: ;2.0;9.0835926E7
delegado 273: ;2.0;8.9444017E7
delegado 274: ;2.8;9.1855537E7
delegado 275: ;2.8;9.2540643E7
delegado 276: ;2.8;9.286174E7
delegado 277: ;3.0;9.2477009E7
delegado 278: ;3.0;9.0818372E7
delegado 279: ;3.0;9.3967905E7
delegado 280: ;3.4;9.0485327E7
delegado 281: ;3.4;9.1070227E7
delegado 282: ;3.4;9.1033412E7
delegado 283: ;2.6;8.9997708E7
delegado 284: ;2.6;8.9426706E7
delegado 285: ;2.6;9.175387E7
delegado 286: ;9.8;1.02506607E8
delegado 287: ;9.8;1.03474288E8
delegado 288: ;9.8;1.03755157E8
delegado 289: ;9.9;8.7875833E7
delegado 290: ;9.9;8.7979208E7
delegado 291: ;9.9;1.03937039E8
delegado 292: ;8.3;1.02450774E8
delegado 293: ;8.3;1.02147232E8
delegado 294: ;8.3;1.03346776E8
delegado 295: ;5.0;1.01998264E8
delegado 296: ;5.0;1.002048E8
delegado 297: ;5.0;1.01679605E8
delegado 298: ;3.1;1.00203338E8
delegado 299: ;3.1;1.01943407E8
delegado 300: ;3.1;1.02527088E8
delegado 301: ;2.3;1.0257463E8
delegado 302: ;2.3;1.0166327E8
delegado 303: ;2.3;9.5324218E7
delegado 304: ;4.4;1.01554287E8
delegado 305: ;4.4;9.8163869E7
delegado 306: ;4.4;1.01365335E8
delegado 307: ;5.5;1.01837838E8
delegado 308: ;5.5;1.01215879E8
delegado 309: ;5.5;9.9015984E7
delegado 310: ;7.7;9.9381698E7
delegado 311: ;7.7;1.03734676E8
delegado 312: ;7.7;9.4604492E7
delegado 313: ;6.4;1.01629624E8
delegado 314: ;6.4;1.00676328E8
delegado 315: ;6.4;1.00030233E8
delegado 316: ;4.1;9.9310506E7
delegado 317: ;4.1;1.00406431E8
delegado 318: ;4.1;1.00089722E8
delegado 319: ;0.7;9.8265538E7
delegado 320: ;0.7;1.00814324E8
delegado 321: ;0.7;1.00076556E8
delegado 322: ;3.4;1.01321449E8
delegado 323: ;3.4;9.9983908E7
delegado 324: ;3.4;9.9400229E7
delegado 325: ;5.9;1.02169419E8
delegado 326: ;5.9;9.7022109E7
delegado 327: ;5.9;1.03978974E8
delegado 328: ;4.8;1.00975238E8
delegado 329: ;4.8;9.849667E7
delegado 330: ;4.8;9.9683291E7
delegado 331: ;6.9;1.01821502E8
delegado 332: ;6.9;1.00060465E8
delegado 333: ;6.9;1.01989975E8
delegado 334: ;10.7;1.00548572E8
delegado 335: ;10.7;1.01306332E8
delegado 336: ;10.7;1.04341518E8
delegado 337: ;3.4;1.04027004E8
delegado 338: ;3.4;9.6946527E7
delegado 339: ;3.4;1.00081433E8
delegado 340: ;1.0;1.00322804E8
delegado 341: ;1.0;1.00723139E8
delegado 342: ;1.0;1.00849921E8
delegado 343: ;2.4;9.9247604E7
delegado 344: ;2.4;1.0000902E8
delegado 345: ;2.4;9.8065127E7
delegado 346: ;4.1;9.8386468E7
delegado 347: ;4.1;9.8289188E7
delegado 348: ;4.1;1.00050469E8
delegado 349: ;25.6;1.00017554E8
delegado 350: ;25.6;1.01217098E8
delegado 351: ;25.6;9.7517042E7
delegado 352: ;5.9;1.01882211E8
delegado 353: ;5.9;9.6013956E7
delegado 354: ;5.9;9.7962239E7
delegado 355: ;4.8;1.01382157E8
delegado 356: ;4.8;9.8119253E7
delegado 357: ;4.8;1.0084285E8
delegado 358: ;3.8;9.5399068E7
delegado 359: ;3.8;9.9197866E7
delegado 360: ;3.8;9.816582E7
delegado 361: ;0.9;1.02632901E8
delegado 362: ;0.9;9.9031832E7
delegado 363: ;0.9;1.0171642E8
delegado 364: ;2.1;9.9132769E7
delegado 365: ;2.1;9.7387579E7
delegado 366: ;2.1;9.9862247E7
delegado 367: ;3.4;1.00373029E8
delegado 368: ;3.4;1.01823209E8
delegado 369: ;3.4;1.01025707E8
delegado 370: ;2.4;1.00324267E8
delegado 371: ;2.4;1.00538331E8
delegado 372: ;2.4;1.00234301E8
delegado 373: ;1.4;9.8990628E7
delegado 374: ;1.4;9.8304792E7
delegado 375: ;1.4;1.02323994E8
delegado 376: ;1.3;9.9332205E7
delegado 377: ;1.3;1.00153844E8
delegado 378: ;1.3;9.6414047E7
delegado 379: ;1.7;9.9097417E7
delegado 380: ;1.7;9.7619198E7
delegado 381: ;1.7;9.9978789E7
delegado 382: ;1.3;1.00043155E8
delegado 383: ;1.3;9.6580813E7
delegado 384: ;1.3;8.8423673E7
delegado 385: ;3.3;9.9885653E7
delegado 386: ;3.3;9.9016716E7
delegado 387: ;3.3;1.02304733E8
delegado 388: ;3.8;9.7627001E7
delegado 389: ;3.8;1.01359239E8
delegado 390: ;3.8;9.8971367E7
delegado 391: ;3.4;9.563922E7
delegado 392: ;3.4;1.02214767E8
delegado 393: ;3.4;9.7162299E7
delegado 394: ;4.2;9.1217975E7
delegado 395: ;4.2;9.8745843E7
delegado 396: ;4.2;1.01965106E8
delegado 397: ;1.0;9.2655477E7
delegado 398: ;1.0;9.8970148E7
delegado 399: ;1.0;9.603029E7
