;Experimento 1;;;Experimento 2;;;Experimento 3;;;Experimento 4;;;Experimento 5;;;Experimento 6;;;Experimento 7;;;Experimento 8;;;Experimento 9;
delegado;memoria;tiempo;delegado;memoria;tiempo;Delegado;Memoria;Tiempo;Delegado;Memoria;Tiempo;delegado;Memoria;tiempo;delegado;memoria;tiempo;delegado;maquina;tiempo;delegado;memoria;tiempo;delegado;memoria;tiempo
delegado 17: ;2.0;1,03E+16;delegado 17: ;3.3;9,92E+14;delegado 17: ;4.9;9.47E+07;delegado 17: ;6.6;8,94E+14;delegado 17: ;6.6;9,09E+14;delegado 17: ;12.8;9,26E+14;delegado 17: ;2.1;1,02E+16;delegado 17: ;14.5;1,02E+16;delegado 17: ;10.0;9,89E+14
delegado 18: ;2.0;8,48E+14;delegado 18: ;3.3;9,89E+14;delegado 18: ;4.9;9.20E+07;delegado 18: ;6.6;1,03E+16;delegado 18: ;6.6;9,23E+14;delegado 18: ;12.8;9,38E+14;delegado 18: ;2.1;9,85E+13;delegado 18: ;14.5;1,01E+16;delegado 18: ;10.0;9,52E+14
delegado 19: ;4.8;9,91E+14;delegado 19: ;3.4;1,02E+16;delegado 19: ;4.8;9.22E+07;delegado 19: ;5.1;9,92E+14;delegado 19: ;6.2;9,29E+14;delegado 19: ;4.9;9,16E+14;delegado 19: ;3.4;9,82E+14;delegado 19: ;14.5;1,02E+16;delegado 19: ;6.5;9,45E+14
delegado 20: ;4.8;9,99E+14;delegado 20: ;3.4;9,86E+14;delegado 20: ;4.8;9.01E+07;delegado 20: ;5.1;1,05E+16;delegado 20: ;6.2;9,24E+14;delegado 20: ;4.9;9,22E+14;delegado 20: ;3.4;9,78E+14;delegado 20: ;14.5;1,01E+15;delegado 20: ;6.5;1,08E+16
delegado 21: ;4.8;9,82E+14;delegado 21: ;3.4;9,66E+14;delegado 21: ;4.8;9.40E+07;delegado 21: ;5.1;1,02E+16;delegado 21: ;6.2;9,36E+14;delegado 21: ;4.9;9,11E+14;delegado 21: ;3.4;1,01E+16;delegado 21: ;14.5;1,01E+16;delegado 21: ;6.5;1,02E+15
delegado 22: ;6.7;1,01E+16;delegado 22: ;4.1;9,96E+14;delegado 22: ;3.4;9.53E+07;delegado 22: ;2.5;1,03E+16;delegado 22: ;4.1;9,38E+14;delegado 22: ;3.4;9,42E+14;delegado 22: ;3.0;9,77E+14;delegado 22: ;19.6;1,02E+16;delegado 22: ;6.2;9,98E+14
delegado 23: ;6.7;9,79E+14;delegado 23: ;4.1;9,70E+14;delegado 23: ;3.4;9.03E+07;delegado 23: ;2.5;1,02E+16;delegado 23: ;4.1;9,20E+14;delegado 23: ;3.4;9,20E+14;delegado 23: ;3.0;1,02E+16;delegado 23: ;19.6;9,88E+13;delegado 23: ;6.2;9,70E+13
delegado 24: ;6.7;9,91E+14;delegado 24: ;4.1;9,32E+14;delegado 24: ;3.4;9.00E+07;delegado 24: ;2.5;1,02E+16;delegado 24: ;4.1;9,17E+14;delegado 24: ;3.4;9,09E+14;delegado 24: ;3.0;9,06E+14;delegado 24: ;19.6;1,01E+16;delegado 24: ;6.2;9,72E+14
delegado 25: ;1.3;9,80E+13;delegado 25: ;2.4;9,29E+13;delegado 25: ;24.9;9.10E+07;delegado 25: ;2.8;1,00E+15;delegado 25: ;4.4;9,33E+14;delegado 25: ;9.4;9,28E+14;delegado 25: ;5.8;1,02E+16;delegado 25: ;27.0;8,94E+14;delegado 25: ;29.9;8,94E+14
delegado 26: ;1.3;9,60E+13;delegado 26: ;2.4;9,97E+14;delegado 26: ;24.9;8.96E+07;delegado 26: ;2.8;1,00E+16;delegado 26: ;4.4;9,13E+14;delegado 26: ;9.4;9,18E+13;delegado 26: ;5.8;9,81E+14;delegado 26: ;27.0;1,01E+16;delegado 26: ;29.9;9,84E+14
