;Experimento 1;;;Experimento 2;;;Experimento 3;;;Experimento 4;;;Experimento 5;;;Experimento 6;;;Experimento 7;;;Experimento 8;;;Experimento 9;
delegado;memoria;tiempo;delegado;memoria;tiempo;Delegado;Memoria;Tiempo;Delegado;Memoria;Tiempo;delegado;Memoria;tiempo;delegado;memoria;tiempo;delegado;maquina;tiempo;delegado;memoria;tiempo;delegado;memoria;tiempo
delegado 74: ;8.3;9,75E+14;delegado 74: ;9.1;1,04E+16;delegado 74: ;0.7;9.09E+07;delegado 74: ;3.7;1,05E+15;delegado 74: ;7.6;9,79E+14;delegado 74: ;0.3;9,22E+14;delegado 74: ;2.2;9,29E+14;delegado 74: ;2.0;9,50E+14;delegado 74: ;3.1;9,55E+14
delegado 75: ;8.3;9,52E+14;delegado 75: ;9.1;8,84E+14;delegado 75: ;0.7;9.21E+07;delegado 75: ;3.7;1,02E+15;delegado 75: ;7.6;9,66E+14;delegado 75: ;0.3;8,80E+14;delegado 75: ;2.2;9,69E+14;delegado 75: ;2.0;1,05E+16;delegado 75: ;3.1;9,32E+14
delegado 76: ;6.6;9,57E+14;delegado 76: ;8.2;8,87E+14;delegado 76: ;3.2;9.26E+07;delegado 76: ;3.7;1,02E+16;delegado 76: ;5.9;9,81E+14;delegado 76: ;3.4;1,05E+16;delegado 76: ;4.9;1,02E+16;delegado 76: ;4.4;1,00E+15;delegado 76: ;5.5;9,41E+14
delegado 77: ;6.6;9,70E+14;delegado 77: ;8.2;1,04E+16;delegado 77: ;3.2;9.15E+07;delegado 77: ;3.7;9,93E+14;delegado 77: ;5.9;9,59E+14;delegado 77: ;3.4;1,05E+16;delegado 77: ;4.9;9,77E+14;delegado 77: ;4.4;1,02E+16;delegado 77: ;5.5;9,38E+14
delegado 78: ;6.6;9,66E+14;delegado 78: ;8.2;1,02E+16;delegado 78: ;3.2;9.35E+07;delegado 78: ;3.7;1,01E+16;delegado 78: ;5.9;9,76E+14;delegado 78: ;3.4;8,95E+13;delegado 78: ;4.9;1,03E+16;delegado 78: ;4.4;1,04E+16;delegado 78: ;5.5;9,65E+14
delegado 79: ;9.3;9,49E+13;delegado 79: ;7.0;1,02E+16;delegado 79: ;4.5;9.06E+07;delegado 79: ;1.3;1,03E+16;delegado 79: ;7.2;9,55E+14;delegado 79: ;3.3;8,77E+14;delegado 79: ;2.0;1,03E+16;delegado 79: ;2.1;1,05E+16;delegado 79: ;5.5;9,20E+14
delegado 80: ;9.3;9,59E+14;delegado 80: ;7.0;1,04E+16;delegado 80: ;4.5;8.98E+07;delegado 80: ;1.3;1,01E+16;delegado 80: ;7.2;9,08E+14;delegado 80: ;3.3;9,33E+14;delegado 80: ;2.0;1,00E+16;delegado 80: ;2.1;9,46E+14;delegado 80: ;5.5;9,14E+14
delegado 81: ;9.3;9,41E+14;delegado 81: ;7.0;1,04E+16;delegado 81: ;4.5;9.09E+07;delegado 81: ;1.3;9,69E+14;delegado 81: ;7.2;9,18E+14;delegado 81: ;3.3;9,38E+14;delegado 81: ;2.0;9,83E+14;delegado 81: ;2.1;9,43E+14;delegado 81: ;5.5;9,44E+14
delegado 82: ;8.3;9,45E+14;delegado 82: ;9.2;1,02E+16;delegado 82: ;1.3;9.21E+07;delegado 82: ;6.4;9,61E+14;delegado 82: ;9.1;9,15E+14;delegado 82: ;3.6;9,26E+14;delegado 82: ;2.7;1,01E+16;delegado 82: ;1.0;9,79E+14;delegado 82: ;5.9;9,42E+14
delegado 83: ;8.3;9,26E+14;delegado 83: ;9.2;1,01E+16;delegado 83: ;1.3;8.85E+07;delegado 83: ;6.4;9,59E+14;delegado 83: ;9.1;9,19E+14;delegado 83: ;3.6;9,16E+14;delegado 83: ;2.7;9,16E+14;delegado 83: ;1.0;9,29E+14;delegado 83: ;5.9;9,20E+14
delegado 84: ;8.3;9,28E+14;delegado 84: ;9.2;1,02E+16;delegado 84: ;1.3;8.99E+07;delegado 84: ;6.4;9,70E+14;delegado 84: ;9.1;9,14E+14;delegado 84: ;3.6;9,14E+14;delegado 84: ;2.7;9,20E+14;delegado 84: ;1.0;1,02E+15;delegado 84: ;5.9;9,20E+14
delegado 85: ;16.1;9,28E+11;delegado 85: ;8.6;1,01E+16;delegado 85: ;5.4;8.95E+07;delegado 85: ;3.6;9,42E+14;delegado 85: ;3.8;8,86E+14;delegado 85: ;7.1;9,17E+14;delegado 85: ;0.6;9,91E+14;delegado 85: ;5.0;9,51E+14;delegado 85: ;4.1;9,04E+14
delegado 86: ;16.1;9,03E+14;delegado 86: ;8.6;1,02E+16;delegado 86: ;5.4;1.05E+08;delegado 86: ;3.6;9,59E+14;delegado 86: ;3.8;8,84E+14;delegado 86: ;7.1;9,02E+14;delegado 86: ;0.6;1,01E+16;delegado 86: ;5.0;9,24E+14;delegado 86: ;4.1;9,13E+14
delegado 87: ;16.1;9,03E+14;delegado 87: ;8.6;9,86E+14;delegado 87: ;5.4;1.05E+08;delegado 87: ;3.6;9,38E+14;delegado 87: ;3.8;8,96E+14;delegado 87: ;7.1;9,12E+14;delegado 87: ;0.6;1,04E+16;delegado 87: ;5.0;1,01E+16;delegado 87: ;4.1;9,03E+14
delegado 88: ;16.7;9,81E+14;delegado 88: ;9.1;9,73E+14;delegado 88: ;5.7;1.06E+08;delegado 88: ;6.8;9,23E+14;delegado 88: ;1.4;8,97E+14;delegado 88: ;2.2;8,92E+14;delegado 88: ;12.5;9,40E+14;delegado 88: ;10.4;1,01E+16;delegado 88: ;2.0;9,09E+13
delegado 89: ;16.7;9,00E+14;delegado 89: ;9.1;9,78E+14;delegado 89: ;5.7;8.79E+07;delegado 89: ;6.8;9,51E+14;delegado 89: ;1.4;9,14E+14;delegado 89: ;2.2;9,12E+14;delegado 89: ;12.5;1,02E+16;delegado 89: ;10.4;9,40E+14;delegado 89: ;2.0;9,14E+14
delegado 90: ;16.7;8,94E+14;delegado 90: ;9.1;9,71E+14;delegado 90: ;5.7;1.05E+08;delegado 90: ;6.8;9,31E+13;delegado 90: ;1.4;8,96E+14;delegado 90: ;2.2;9,19E+14;delegado 90: ;12.5;9,88E+14;delegado 90: ;10.4;9,25E+14;delegado 90: ;2.0;8,98E+13
delegado 91: ;14.3;9,11E+14;delegado 91: ;6.9;9,80E+14;delegado 91: ;2.2;1.02E+08;delegado 91: ;2.4;9,34E+14;delegado 91: ;0.6;9,09E+13;delegado 91: ;4.6;1,03E+16;delegado 91: ;14.9;9,86E+14;delegado 91: ;6.1;1,01E+16;delegado 91: ;3.3;8,89E+14
delegado 92: ;14.3;9,04E+14;delegado 92: ;6.9;9,62E+14;delegado 92: ;2.2;1.03E+08;delegado 92: ;2.4;9,33E+13;delegado 92: ;0.6;9,20E+14;delegado 92: ;4.6;1,02E+16;delegado 92: ;14.9;9,33E+14;delegado 92: ;6.1;9,02E+14;delegado 92: ;3.3;9,17E+14
delegado 93: ;14.3;1,06E+16;delegado 93: ;6.9;9,64E+14;delegado 93: ;2.2;1.02E+08;delegado 93: ;2.4;1,02E+16;delegado 93: ;0.6;9,36E+14;delegado 93: ;4.6;1,04E+16;delegado 93: ;14.9;9,87E+14;delegado 93: ;6.1;1,01E+16;delegado 93: ;3.3;9,11E+14
delegado 94: ;5.7;1,05E+16;delegado 94: ;7.4;9,54E+14;delegado 94: ;3.8;1.01E+08;delegado 94: ;5.1;1,01E+16;delegado 94: ;2.8;9,36E+14;delegado 94: ;0.9;1,02E+16;delegado 94: ;2.7;1,00E+16;delegado 94: ;10.8;9,98E+14;delegado 94: ;2.6;8,92E+14
delegado 95: ;5.7;8,89E+14;delegado 95: ;7.4;9,50E+14;delegado 95: ;3.8;1.02E+08;delegado 95: ;5.1;9,49E+14;delegado 95: ;2.8;9,25E+14;delegado 95: ;0.9;1,03E+16;delegado 95: ;2.7;1,01E+15;delegado 95: ;10.8;9,54E+14;delegado 95: ;2.6;1,04E+16
delegado 96: ;5.7;9,11E+14;delegado 96: ;7.4;9,57E+14;delegado 96: ;3.8;1.01E+08;delegado 96: ;5.1;1,01E+16;delegado 96: ;2.8;9,01E+14;delegado 96: ;0.9;1,02E+16;delegado 96: ;2.7;9,98E+14;delegado 96: ;10.8;9,87E+14;delegado 96: ;2.6;1,04E+16
delegado 97: ;5.5;9,38E+14;delegado 97: ;4.9;9,61E+14;delegado 97: ;4.6;9.91E+07;delegado 97: ;31.2;1,03E+16;delegado 97: ;2.6;9,09E+14;delegado 97: ;4.4;1,00E+16;delegado 97: ;25.3;1,01E+16;delegado 97: ;7.2;1,01E+16;delegado 97: ;5.1;1,03E+16
delegado 98: ;5.5;9,20E+14;delegado 98: ;4.9;9,34E+14;delegado 98: ;4.6;1.02E+08;delegado 98: ;31.2;9,28E+14;delegado 98: ;2.6;8,83E+13;delegado 98: ;4.4;1,02E+16;delegado 98: ;25.3;1,00E+16;delegado 98: ;7.2;9,21E+14;delegado 98: ;5.1;1,03E+16
delegado 99: ;5.5;9,06E+14;delegado 99: ;4.9;9,44E+14;delegado 99: ;4.6;1.00E+08;delegado 99: ;31.2;9,90E+14;delegado 99: ;2.6;8,89E+14;delegado 99: ;4.4;1,02E+16;delegado 99: ;25.3;1,04E+16;delegado 99: ;7.2;9,42E+14;delegado 99: ;5.1;1,03E+16
delegado 100: ;6.0;9,29E+14;delegado 100: ;5.0;9,47E+14;delegado 100: ;6.6;9.98E+07;delegado 100: ;4.8;1,03E+16;delegado 100: ;6.5;1,06E+16;delegado 100: ;5.8;1,02E+16;delegado 100: ;4.7;1,01E+16;delegado 100: ;8.4;9,51E+14;delegado 100: ;12.7;1,00E+16
delegado 101: ;6.0;9,41E+14;delegado 101: ;5.0;9,46E+14;delegado 101: ;6.6;9.33E+07;delegado 101: ;4.8;9,80E+14;delegado 101: ;6.5;9,66E+14;delegado 101: ;5.8;9,20E+14;delegado 101: ;4.7;1,01E+16;delegado 101: ;8.4;1,01E+16;delegado 101: ;12.7;1,01E+16
delegado 102: ;6.0;9,12E+14;delegado 102: ;5.0;9,36E+14;delegado 102: ;6.6;9.33E+07;delegado 102: ;4.8;1,01E+14;delegado 102: ;6.5;9,48E+13;delegado 102: ;5.8;9,33E+14;delegado 102: ;4.7;1,01E+16;delegado 102: ;8.4;9,99E+14;delegado 102: ;12.7;1,03E+16
delegado 103: ;6.3;9,02E+13;delegado 103: ;5.2;9,27E+14;delegado 103: ;3.4;9.36E+07;delegado 103: ;4.1;1,00E+15;delegado 103: ;0.3;9,27E+14;delegado 103: ;4.5;9,22E+14;delegado 103: ;3.8;1,06E+16;delegado 103: ;9.0;9,27E+14;delegado 103: ;4.8;1,00E+16
delegado 104: ;6.3;9,04E+14;delegado 104: ;5.2;9,25E+14;delegado 104: ;3.4;9.33E+07;delegado 104: ;4.1;1,03E+16;delegado 104: ;0.3;9,39E+14;delegado 104: ;4.5;9,20E+14;delegado 104: ;3.8;9,22E+14;delegado 104: ;9.0;1,02E+16;delegado 104: ;4.8;1,00E+16
delegado 105: ;6.3;9,08E+14;delegado 105: ;5.2;9,19E+14;delegado 105: ;3.4;9.10E+07;delegado 105: ;4.1;1,02E+16;delegado 105: ;0.3;9,48E+14;delegado 105: ;4.5;9,46E+14;delegado 105: ;3.8;9,68E+14;delegado 105: ;9.0;9,72E+14;delegado 105: ;4.8;1,00E+16
delegado 106: ;5.8;9,22E+14;delegado 106: ;9.7;9,25E+14;delegado 106: ;4.4;8.85E+07;delegado 106: ;4.9;9,99E+14;delegado 106: ;1.6;9,37E+13;delegado 106: ;6.0;9,20E+14;delegado 106: ;3.4;1,01E+16;delegado 106: ;8.0;9,70E+14;delegado 106: ;4.8;1,00E+16
delegado 107: ;5.8;9,13E+14;delegado 107: ;9.7;9,20E+14;delegado 107: ;4.4;8.91E+07;delegado 107: ;4.9;1,01E+16;delegado 107: ;1.6;9,29E+14;delegado 107: ;6.0;1,01E+15;delegado 107: ;3.4;1,16E+16;delegado 107: ;8.0;9,86E+14;delegado 107: ;4.8;1,01E+16
delegado 108: ;5.8;9,26E+14;delegado 108: ;9.7;9,06E+14;delegado 108: ;4.4;8.93E+07;delegado 108: ;4.9;1,01E+16;delegado 108: ;1.6;9,49E+14;delegado 108: ;6.0;1,01E+16;delegado 108: ;3.4;9,99E+14;delegado 108: ;8.0;9,83E+13;delegado 108: ;4.8;1,01E+16
delegado 109: ;5.8;9,23E+14;delegado 109: ;10.4;9,03E+14;delegado 109: ;10.1;9.55E+07;delegado 109: ;7.2;9,96E+14;delegado 109: ;2.4;9,40E+14;delegado 109: ;4.8;1,02E+16;delegado 109: ;5.3;1,00E+16;delegado 109: ;5.2;9,05E+13;delegado 109: ;1.4;1,01E+16
delegado 110: ;5.8;9,25E+13;delegado 110: ;10.4;8,96E+14;delegado 110: ;10.1;9.24E+07;delegado 110: ;7.2;9,98E+14;delegado 110: ;2.4;9,21E+14;delegado 110: ;4.8;1,01E+16;delegado 110: ;5.3;9,36E+14;delegado 110: ;5.2;9,20E+14;delegado 110: ;1.4;1,01E+16
delegado 111: ;5.8;9,60E+14;delegado 111: ;10.4;9,01E+14;delegado 111: ;10.1;9.52E+07;delegado 111: ;7.2;1,02E+16;delegado 111: ;2.4;9,38E+14;delegado 111: ;4.8;1,00E+16;delegado 111: ;5.3;1,01E+16;delegado 111: ;5.2;9,27E+14;delegado 111: ;1.4;9,13E+14
delegado 112: ;4.4;9,35E+13;delegado 112: ;9.4;9,04E+14;delegado 112: ;3.8;9.11E+07;delegado 112: ;4.2;9,77E+14;delegado 112: ;1.9;9,16E+14;delegado 112: ;2.5;1,00E+16;delegado 112: ;4.6;1,00E+15;delegado 112: ;6.9;9,18E+14;delegado 112: ;2.0;9,34E+14
delegado 113: ;4.4;9,28E+14;delegado 113: ;9.4;9,00E+14;delegado 113: ;3.8;9.33E+07;delegado 113: ;4.2;9,95E+13;delegado 113: ;1.9;9,18E+14;delegado 113: ;2.5;1,01E+16;delegado 113: ;4.6;9,28E+14;delegado 113: ;6.9;8,94E+14;delegado 113: ;2.0;9,24E+14
delegado 114: ;4.4;9,14E+14;delegado 114: ;9.4;8,86E+14;delegado 114: ;3.8;9.41E+07;delegado 114: ;4.2;1,02E+16;delegado 114: ;1.9;9,09E+14;delegado 114: ;2.5;9,99E+14;delegado 114: ;4.6;9,56E+14;delegado 114: ;6.9;8,90E+14;delegado 114: ;2.0;9,11E+14
delegado 115: ;7.0;9,12E+13;delegado 115: ;7.2;8,85E+14;delegado 115: ;2.4;9.17E+07;delegado 115: ;3.3;9,35E+14;delegado 115: ;1.3;9,12E+14;delegado 115: ;3.3;1,00E+16;delegado 115: ;3.0;9,69E+14;delegado 115: ;7.7;1,02E+16;delegado 115: ;0.6;9,03E+13
delegado 116: ;7.0;9,08E+14;delegado 116: ;7.2;8,83E+14;delegado 116: ;2.4;9.22E+07;delegado 116: ;3.3;9,38E+14;delegado 116: ;1.3;9,09E+14;delegado 116: ;3.3;9,92E+14;delegado 116: ;3.0;1,00E+16;delegado 116: ;7.7;9,96E+14;delegado 116: ;0.6;8,82E+14
delegado 117: ;7.0;9,12E+14;delegado 117: ;7.2;8,83E+14;delegado 117: ;2.4;9.91E+07;delegado 117: ;3.3;9,43E+14;delegado 117: ;1.3;9,07E+14;delegado 117: ;3.3;9,73E+14;delegado 117: ;3.0;8,97E+14;delegado 117: ;7.7;9,21E+13;delegado 117: ;0.6;9,21E+14
delegado 118: ;7.4;9,18E+14;delegado 118: ;8.6;8,82E+14;delegado 118: ;4.5;1.01E+08;delegado 118: ;2.8;9,45E+14;delegado 118: ;0.0;1,07E+15;delegado 118: ;6.8;9,68E+14;delegado 118: ;0.7;1,01E+16;delegado 118: ;7.1;9,29E+14;delegado 118: ;2.9;8,97E+14
delegado 119: ;7.4;8,91E+14;delegado 119: ;8.6;1,02E+16;delegado 119: ;4.5;9.77E+07;delegado 119: ;2.8;9,39E+14;delegado 119: ;0.0;1,05E+16;delegado 119: ;6.8;9,83E+14;delegado 119: ;0.7;1,03E+15;delegado 119: ;7.1;9,90E+14;delegado 119: ;2.9;9,25E+14
delegado 120: ;7.4;1,05E+16;delegado 120: ;8.6;1,03E+16;delegado 120: ;4.5;9.91E+07;delegado 120: ;2.8;9,15E+14;delegado 120: ;0.0;1,04E+16;delegado 120: ;6.8;9,59E+14;delegado 120: ;0.7;1,00E+15;delegado 120: ;7.1;1,00E+15;delegado 120: ;2.9;8,99E+14
delegado 121: ;8.7;8,93E+14;delegado 121: ;9.6;1,02E+16;delegado 121: ;2.7;9.71E+07;delegado 121: ;2.3;9,32E+14;delegado 121: ;2.5;1,03E+16;delegado 121: ;3.4;9,68E+14;delegado 121: ;4.1;9,95E+13;delegado 121: ;5.4;8,95E+14;delegado 121: ;6.4;1,03E+16
delegado 122: ;8.7;9,00E+14;delegado 122: ;9.6;1,03E+16;delegado 122: ;2.7;9.62E+07;delegado 122: ;2.3;9,53E+14;delegado 122: ;2.5;1,03E+16;delegado 122: ;3.4;9,38E+14;delegado 122: ;4.1;1,01E+15;delegado 122: ;5.4;9,19E+14;delegado 122: ;6.4;1,06E+15
delegado 123: ;8.7;8,96E+14;delegado 123: ;9.6;1,02E+16;delegado 123: ;2.7;9.60E+07;delegado 123: ;2.3;1,01E+16;delegado 123: ;2.5;1,03E+16;delegado 123: ;3.4;9,21E+14;delegado 123: ;4.1;1,00E+16;delegado 123: ;5.4;9,61E+13;delegado 123: ;6.4;1,05E+16
delegado 124: ;7.4;1,03E+16;delegado 124: ;6.4;1,01E+16;delegado 124: ;9;9.53E+07;delegado 124: ;4.5;9,87E+14;delegado 124: ;2.5;1,03E+16;delegado 124: ;2.3;9,31E+14;delegado 124: ;4.4;9,98E+14;delegado 124: ;10.0;9,60E+14;delegado 124: ;1.5;1,05E+16
delegado 125: ;7.4;1,02E+16;delegado 125: ;6.4;9,95E+14;delegado 125: ;9;9.38E+07;delegado 125: ;4.5;1,03E+16;delegado 125: ;2.5;1,03E+16;delegado 125: ;2.3;9,43E+14;delegado 125: ;4.4;8,98E+14;delegado 125: ;10.0;9,63E+14;delegado 125: ;1.5;1,05E+16
delegado 126: ;7.4;1,02E+16;delegado 126: ;6.4;9,93E+14;delegado 126: ;9;9.35E+07;delegado 126: ;4.5;1,01E+16;delegado 126: ;2.5;1,03E+16;delegado 126: ;2.3;9,30E+13;delegado 126: ;4.4;9,25E+14;delegado 126: ;10.0;1,05E+16;delegado 126: ;1.5;1,02E+16
delegado 127: ;11.5;1,03E+16;delegado 127: ;9.1;1,01E+16;delegado 127: ;9.1;9.73E+07;delegado 127: ;6.2;1,00E+16;delegado 127: ;3.5;1,05E+15;delegado 127: ;3.7;9,32E+13;delegado 127: ;1.3;9,57E+13;delegado 127: ;7.9;1,05E+16;delegado 127: ;1.2;1,05E+16
delegado 128: ;11.5;1,03E+16;delegado 128: ;9.1;9,98E+14;delegado 128: ;9.1;9.41E+07;delegado 128: ;6.2;1,01E+16;delegado 128: ;3.5;9,37E+14;delegado 128: ;3.7;9,10E+14;delegado 128: ;1.3;9,96E+14;delegado 128: ;7.9;1,04E+16;delegado 128: ;1.2;1,04E+16
delegado 129: ;11.5;1,01E+15;delegado 129: ;9.1;1,00E+16;delegado 129: ;9.1;9.25E+07;delegado 129: ;6.2;1,01E+16;delegado 129: ;3.5;1,00E+16;delegado 129: ;3.7;9,08E+14;delegado 129: ;1.3;9,33E+14;delegado 129: ;7.9;9,33E+14;delegado 129: ;1.2;1,04E+16
delegado 130: ;8.3;1,01E+16;delegado 130: ;6.8;9,91E+14;delegado 130: ;1.8;9.52E+07;delegado 130: ;35.4;9,22E+14;delegado 130: ;3.2;9,97E+14;delegado 130: ;2.0;9,23E+14;delegado 130: ;6.2;1,02E+16;delegado 130: ;6.5;9,53E+14;delegado 130: ;1.6;1,04E+16
delegado 131: ;8.3;1,16E+16;delegado 131: ;6.8;9,99E+14;delegado 131: ;1.8;9.23E+07;delegado 131: ;35.4;9,12E+14;delegado 131: ;3.2;9,95E+14;delegado 131: ;2.0;9,19E+14;delegado 131: ;6.2;9,20E+14;delegado 131: ;6.5;9,09E+14;delegado 131: ;1.6;9,53E+14
delegado 132: ;8.3;1,01E+16;delegado 132: ;6.8;9,95E+14;delegado 132: ;1.8;1.03E+08;delegado 132: ;35.4;1,03E+16;delegado 132: ;3.2;1,02E+15;delegado 132: ;2.0;9,26E+14;delegado 132: ;6.2;9,42E+14;delegado 132: ;6.5;9,77E+14;delegado 132: ;1.6;9,80E+12
delegado 133: ;9.7;1,04E+16;delegado 133: ;8.7;1,00E+15;delegado 133: ;14.1;1.01E+08;delegado 133: ;15.6;1,01E+15;delegado 133: ;4.2;9,50E+14;delegado 133: ;4.7;9,24E+14;delegado 133: ;3.4;1,02E+16;delegado 133: ;8.4;9,77E+12;delegado 133: ;1.3;9,81E+14
delegado 134: ;9.7;1,01E+16;delegado 134: ;8.7;9,91E+13;delegado 134: ;14.1;9.28E+07;delegado 134: ;15.6;9,01E+13;delegado 134: ;4.2;9,28E+14;delegado 134: ;4.7;9,22E+14;delegado 134: ;3.4;1,01E+16;delegado 134: ;8.4;9,76E+14;delegado 134: ;1.3;9,77E+14
delegado 135: ;9.7;9,87E+14;delegado 135: ;8.7;9,65E+14;delegado 135: ;14.1;9.48E+07;delegado 135: ;15.6;8,88E+14;delegado 135: ;4.2;9,18E+14;delegado 135: ;4.7;9,20E+14;delegado 135: ;3.4;9,94E+14;delegado 135: ;8.4;8,97E+14;delegado 135: ;1.3;9,86E+14
delegado 136: ;8.4;9,92E+13;delegado 136: ;7.2;9,73E+14;delegado 136: ;10.8;9.30E+07;delegado 136: ;6.4;1,04E+16;delegado 136: ;3.3;9,20E+14;delegado 136: ;1.4;9,08E+14;delegado 136: ;4.5;9,57E+14;delegado 136: ;8.8;1,01E+16;delegado 136: ;4.2;9,57E+14
delegado 137: ;8.4;1,00E+16;delegado 137: ;7.2;9,81E+14;delegado 137: ;10.8;9.32E+07;delegado 137: ;6.4;1,02E+16;delegado 137: ;3.3;9,19E+13;delegado 137: ;1.4;9,18E+14;delegado 137: ;4.5;9,70E+14;delegado 137: ;8.8;9,92E+14;delegado 137: ;4.2;9,44E+14
delegado 138: ;8.4;1,00E+16;delegado 138: ;7.2;9,89E+14;delegado 138: ;10.8;9.30E+07;delegado 138: ;6.4;1,03E+16;delegado 138: ;3.3;9,24E+14;delegado 138: ;1.4;8,92E+14;delegado 138: ;4.5;9,96E+14;delegado 138: ;8.8;1,06E+16;delegado 138: ;4.2;9,71E+14
delegado 139: ;6.4;1,01E+16;delegado 139: ;8.3;9,67E+14;delegado 139: ;5.1;9.37E+07;delegado 139: ;3.5;1,04E+16;delegado 139: ;2.4;9,00E+14;delegado 139: ;2.0;9,06E+14;delegado 139: ;3.7;1,02E+16;delegado 139: ;2.3;1,04E+16;delegado 139: ;2.0;9,68E+13
delegado 140: ;6.4;9,84E+14;delegado 140: ;8.3;9,69E+13;delegado 140: ;5.1;9.37E+07;delegado 140: ;3.5;1,02E+16;delegado 140: ;2.4;9,04E+14;delegado 140: ;2.0;8,81E+14;delegado 140: ;3.7;9,81E+13;delegado 140: ;2.3;1,04E+15;delegado 140: ;2.0;9,71E+14
delegado 141: ;6.4;9,82E+14;delegado 141: ;8.3;9,28E+14;delegado 141: ;5.1;9.11E+07;delegado 141: ;3.5;9,86E+14;delegado 141: ;2.4;9,19E+14;delegado 141: ;2.0;8,78E+14;delegado 141: ;3.7;9,86E+12;delegado 141: ;2.3;1,04E+16;delegado 141: ;2.0;9,68E+14
delegado 142: ;9.6;9,82E+13;delegado 142: ;5.8;9,33E+14;delegado 142: ;4.1;9.30E+07;delegado 142: ;3.9;1,00E+15;delegado 142: ;0.9;9,21E+14;delegado 142: ;13.8;1,04E+16;delegado 142: ;3.6;1,00E+16;delegado 142: ;8.5;1,03E+15;delegado 142: ;3.5;9,38E+14
delegado 143: ;9.6;9,79E+14;delegado 143: ;5.8;9,52E+14;delegado 143: ;4.1;8.94E+07;delegado 143: ;3.9;1,02E+16;delegado 143: ;0.9;9,21E+14;delegado 143: ;13.8;8,83E+14;delegado 143: ;3.6;1,02E+16;delegado 143: ;8.5;1,03E+16;delegado 143: ;3.5;9,14E+14
delegado 144: ;9.6;9,83E+14;delegado 144: ;5.8;9,22E+14;delegado 144: ;4.1;8.82E+07;delegado 144: ;3.9;1,02E+16;delegado 144: ;0.9;1,02E+16;delegado 144: ;13.8;1,02E+16;delegado 144: ;3.6;9,74E+14;delegado 144: ;8.5;1,00E+16;delegado 144: ;3.5;9,14E+14
delegado 145: ;5.7;9,25E+14;delegado 145: ;8.3;9,47E+14;delegado 145: ;30.1;9.08E+07;delegado 145: ;3.6;1,01E+16;delegado 145: ;0.9;1,03E+16;delegado 145: ;12.8;1,02E+16;delegado 145: ;2.1;9,89E+14;delegado 145: ;7.2;1,02E+16;delegado 145: ;0.6;9,13E+14
delegado 146: ;5.7;9,30E+14;delegado 146: ;8.3;9,18E+14;delegado 146: ;30.1;9.05E+07;delegado 146: ;3.6;1,02E+14;delegado 146: ;0.9;1,05E+16;delegado 146: ;12.8;1,02E+16;delegado 146: ;2.1;1,01E+16;delegado 146: ;7.2;1,02E+16;delegado 146: ;0.6;9,22E+14
delegado 147: ;5.7;9,39E+14;delegado 147: ;8.3;9,25E+14;delegado 147: ;30.1;9.04E+07;delegado 147: ;3.6;9,92E+14;delegado 147: ;0.9;1,04E+16;delegado 147: ;12.8;1,03E+16;delegado 147: ;2.1;9,55E+14;delegado 147: ;7.2;9,17E+14;delegado 147: ;0.6;9,22E+14
delegado 148: ;6.2;9,40E+14;delegado 148: ;5.2;9,28E+14;delegado 148: ;3.8;8.91E+07;delegado 148: ;2.8;9,78E+14;delegado 148: ;1.2;9,99E+14;delegado 148: ;6.9;1,05E+16;delegado 148: ;1.3;9,44E+13;delegado 148: ;7.4;9,05E+14;delegado 148: ;2.4;9,24E+14
delegado 149: ;6.2;9,44E+14;delegado 149: ;5.2;9,19E+14;delegado 149: ;3.8;9.06E+07;delegado 149: ;2.8;9,88E+14;delegado 149: ;1.2;1,01E+15;delegado 149: ;6.9;1,03E+16;delegado 149: ;1.3;1,01E+16;delegado 149: ;7.4;9,04E+14;delegado 149: ;2.4;9,21E+14
delegado 150: ;6.2;9,18E+14;delegado 150: ;5.2;9,20E+14;delegado 150: ;3.8;1.04E+08;delegado 150: ;2.8;9,91E+14;delegado 150: ;1.2;1,02E+16;delegado 150: ;6.9;1,01E+16;delegado 150: ;1.3;1,05E+16;delegado 150: ;7.4;9,36E+14;delegado 150: ;2.4;9,20E+13
delegado 151: ;8.0;9,10E+14;delegado 151: ;7.9;9,09E+13;delegado 151: ;3.5;1.04E+08;delegado 151: ;1.2;9,78E+14;delegado 151: ;4.4;1,02E+16;delegado 151: ;4.0;1,01E+16;delegado 151: ;6.0;9,97E+14;delegado 151: ;10.4;9,28E+14;delegado 151: ;1.2;9,16E+14
delegado 152: ;8.0;9,27E+14;delegado 152: ;7.9;9,25E+14;delegado 152: ;3.5;1.05E+08;delegado 152: ;1.2;9,29E+13;delegado 152: ;4.4;1,02E+16;delegado 152: ;4.0;1,01E+16;delegado 152: ;6.0;9,63E+14;delegado 152: ;10.4;9,19E+14;delegado 152: ;1.2;9,25E+14
delegado 153: ;8.0;9,20E+14;delegado 153: ;7.9;9,22E+14;delegado 153: ;3.5;1.04E+08;delegado 153: ;1.2;9,27E+14;delegado 153: ;4.4;1,00E+16;delegado 153: ;4.0;1,01E+16;delegado 153: ;6.0;9,46E+14;delegado 153: ;10.4;9,11E+14;delegado 153: ;1.2;8,76E+14
