delegado;maquina;tiempo
delegado 314: ;9.3;9.0744985E7
delegado 315: ;9.3;9.133598E7
delegado 316: ;11.4;9.1601244E7
delegado 317: ;11.4;9.1780201E7
delegado 318: ;11.4;9.1378889E7
delegado 319: ;6.3;8.9466935E7
delegado 320: ;6.3;9.0520436E7
delegado 321: ;6.3;8.9355513E7
delegado 322: ;8.7;8.9206058E7
delegado 323: ;8.7;8.9429875E7
delegado 324: ;8.7;8.9132428E7
delegado 325: ;9.5;1.03075171E8
delegado 326: ;9.5;1.02937663E8
delegado 327: ;9.5;1.02699704E8
delegado 328: ;5.5;1.03018852E8
delegado 329: ;5.5;1.03124665E8
delegado 330: ;5.5;1.01779811E8
delegado 331: ;7.7;9.7191557E7
delegado 332: ;7.7;1.01279514E8
delegado 333: ;7.7;1.02217693E8
delegado 334: ;4.7;1.01189303E8
delegado 335: ;4.7;9.8325027E7
delegado 336: ;4.7;9.898307E7
delegado 337: ;7.9;9.8437668E7
delegado 338: ;7.9;9.8469607E7
delegado 339: ;7.9;9.8925774E7
delegado 340: ;10.8;9.6619091E7
delegado 341: ;10.8;9.7165225E7
delegado 342: ;10.8;9.6527662E7
delegado 343: ;11.0;9.6964569E7
delegado 344: ;11.0;9.6872653E7
delegado 345: ;11.0;9.7027717E7
delegado 346: ;11.1;9.1208711E7
delegado 347: ;11.1;9.1246014E7
delegado 348: ;11.1;9.140449E7
delegado 349: ;12.4;9.1495187E7
delegado 350: ;12.4;8.9763894E7
delegado 351: ;12.4;1.02466135E8
delegado 352: ;13.5;1.02657282E8
delegado 353: ;13.5;1.02745297E8
delegado 354: ;13.5;1.02599255E8
delegado 355: ;10.6;1.02789183E8
delegado 356: ;10.6;1.00071193E8
delegado 357: ;10.6;1.00139946E8
delegado 358: ;11.8;1.0009533E8
delegado 359: ;11.8;1.00489082E8
delegado 360: ;11.8;1.03660071E8
delegado 361: ;9.2;1.0043837E8
delegado 362: ;9.2;9.569359E7
delegado 363: ;9.2;9.5656775E7
delegado 364: ;8.3;9.5566809E7
delegado 365: ;8.3;9.743951E7
delegado 366: ;8.3;9.5528287E7
delegado 367: ;7.3;9.3684842E7
delegado 368: ;7.3;9.3324979E7
delegado 369: ;7.3;9.4631799E7
delegado 370: ;3.8;9.4568652E7
delegado 371: ;3.8;9.4732492E7
delegado 372: ;3.8;8.985386E7
delegado 373: ;2.6;9.1377915E7
delegado 374: ;2.6;9.0300519E7
delegado 375: ;2.6;8.9937975E7
delegado 376: ;7.7;9.1072909E7
delegado 377: ;7.7;9.2661573E7
delegado 378: ;7.7;1.06683311E8
delegado 379: ;4.0;8.8742332E7
delegado 380: ;4.0;9.0503614E7
delegado 381: ;4.0;8.9940657E7
delegado 382: ;4.7;8.9651255E7
delegado 383: ;4.7;1.02629732E8
delegado 384: ;4.7;1.01883917E8
delegado 385: ;5.9;1.0338676E8
delegado 386: ;5.9;1.02629731E8
delegado 387: ;5.9;1.03626425E8
delegado 388: ;7.2;9.9979032E7
delegado 389: ;7.2;1.01096168E8
delegado 390: ;7.2;1.02162592E8
delegado 391: ;2.9;1.02483202E8
delegado 392: ;2.9;1.0276724E8
delegado 393: ;2.9;9.774598E7
delegado 394: ;4.8;9.7604326E7
delegado 395: ;4.8;9.8187519E7
delegado 396: ;4.8;9.8558597E7
delegado 397: ;30.5;9.9988053E7
delegado 398: ;30.5;9.745414E7
delegado 399: ;30.5;9.2307561E7
