delegado;maquina;tiempo
delegado 0: ;0.0;2.48798506E8
delegado 1: ;0.0;9.9503116E7
delegado 2: ;22.8;9.8366231E7
delegado 3: ;22.8;9.7706726E7
delegado 4: ;25.7;9.787276E7
delegado 5: ;25.7;9.7849599E7
delegado 6: ;25.7;1.00173104E8
delegado 7: ;6.2;9.8317957E7
delegado 8: ;6.2;9.5717483E7
delegado 9: ;6.2;9.6293361E7
delegado 10: ;6.9;9.5292766E7
delegado 11: ;6.9;9.5642146E7
delegado 12: ;6.9;9.4853909E7
delegado 13: ;7.6;9.2492125E7
delegado 14: ;7.6;9.5443928E7
delegado 15: ;7.6;9.6396006E7
delegado 16: ;6.6;9.5215479E7
delegado 17: ;6.6;9.0871766E7
delegado 18: ;6.6;9.2300003E7
delegado 19: ;6.2;9.2853451E7
delegado 20: ;6.2;9.2396064E7
delegado 21: ;6.2;9.3578054E7
delegado 22: ;4.1;9.3808453E7
delegado 23: ;4.1;9.1994021E7
delegado 24: ;4.1;9.1717542E7
delegado 25: ;4.4;9.3260613E7
delegado 26: ;4.4;9.1251865E7
delegado 27: ;4.4;9.270107E7
delegado 28: ;3.5;8.8878134E7
delegado 29: ;3.5;9.0614547E7
delegado 30: ;3.5;9.1528102E7
delegado 31: ;2.3;8.9118043E7
delegado 32: ;2.3;9.0920284E7
delegado 33: ;2.3;1.02273037E8
delegado 34: ;6.7;1.01506013E8
delegado 35: ;6.7;1.05274578E8
delegado 36: ;6.7;1.0245687E8
delegado 37: ;4.1;1.01085684E8
delegado 38: ;4.1;9.6398931E7
delegado 39: ;4.1;9.6434771E7
delegado 40: ;4.5;9.5173543E7
delegado 41: ;4.5;9.552658E7
delegado 42: ;4.5;9.6238748E7
delegado 43: ;8.0;9.3371058E7
delegado 44: ;8.0;9.3742868E7
delegado 45: ;8.0;1.07478374E8
delegado 46: ;42.6;9.4027638E7
delegado 47: ;42.6;9.3480529E7
delegado 48: ;42.6;9.1550775E7
delegado 49: ;10.7;9.3530998E7
delegado 50: ;10.7;9.2736179E7
delegado 51: ;10.7;9.4921688E7
delegado 52: ;5.3;9.6568623E7
delegado 53: ;5.3;9.2883196E7
delegado 54: ;5.3;9.70599E7
delegado 55: ;3.8;9.3829909E7
delegado 56: ;3.8;9.2428003E7
delegado 57: ;3.8;9.4974351E7
delegado 58: ;9.4;9.5794771E7
delegado 59: ;9.4;8.9823384E7
delegado 60: ;9.4;9.0272969E7
delegado 61: ;7.6;9.2575995E7
delegado 62: ;7.6;9.028394E7
delegado 63: ;7.6;9.3749939E7
delegado 64: ;9.4;1.00708998E8
delegado 65: ;9.4;1.00121173E8
delegado 66: ;9.4;1.02020694E8
delegado 67: ;7.3;1.00383025E8
delegado 68: ;7.3;1.02521968E8
delegado 69: ;7.3;9.7715503E7
delegado 70: ;5.4;9.8153142E7
delegado 71: ;5.4;9.992637E7
delegado 72: ;5.4;9.7204234E7
delegado 73: ;7.6;9.8303085E7
delegado 74: ;7.6;9.7908844E7
delegado 75: ;7.6;9.6609583E7
delegado 76: ;5.9;9.8116814E7
delegado 77: ;5.9;9.5934961E7
delegado 78: ;5.9;9.7595305E7
delegado 79: ;7.2;9.5531944E7
delegado 80: ;7.2;9.0817396E7
delegado 81: ;7.2;9.1827256E7
delegado 82: ;9.1;9.1538097E7
delegado 83: ;9.1;9.1930143E7
delegado 84: ;9.1;9.1359629E7
delegado 85: ;3.8;8.8630424E7
delegado 86: ;3.8;8.8397341E7
delegado 87: ;3.8;8.9638333E7
delegado 88: ;1.4;8.9745853E7
delegado 89: ;1.4;9.1380353E7
delegado 90: ;1.4;8.9561533E7
delegado 91: ;0.6;9.087396E7
delegado 92: ;0.6;9.1970372E7
delegado 93: ;0.6;9.3576346E7
delegado 94: ;2.8;9.3626571E7
delegado 95: ;2.8;9.2545519E7
delegado 96: ;2.8;9.0053053E7
delegado 97: ;2.6;9.0932231E7
delegado 98: ;2.6;8.831664E7
delegado 99: ;2.6;8.8853022E7
delegado 100: ;6.5;1.06119136E8
delegado 101: ;6.5;9.6620555E7
delegado 102: ;6.5;9.479832E7
delegado 103: ;0.3;9.2708385E7
delegado 104: ;0.3;9.3932796E7
delegado 105: ;0.3;9.4799783E7
delegado 106: ;1.6;9.368216E7
delegado 107: ;1.6;9.2919035E7
delegado 108: ;1.6;9.4899501E7
delegado 109: ;2.4;9.4045924E7
delegado 110: ;2.4;9.2097397E7
delegado 111: ;2.4;9.3813329E7
delegado 112: ;1.9;9.1598319E7
delegado 113: ;1.9;9.1815065E7
delegado 114: ;1.9;9.0869084E7
delegado 115: ;1.3;9.1226509E7
delegado 116: ;1.3;9.0943934E7
delegado 117: ;1.3;9.0713778E7
delegado 118: ;0.0;1.0673061E8
delegado 119: ;0.0;1.04628727E8
delegado 120: ;0.0;1.03976048E8
delegado 121: ;2.5;1.03089069E8
delegado 122: ;2.5;1.02725548E8
delegado 123: ;2.5;1.03442837E8
delegado 124: ;2.5;1.03276802E8
delegado 125: ;2.5;1.02845991E8
delegado 126: ;2.5;1.02768215E8
delegado 127: ;3.5;1.0466286E8
delegado 128: ;3.5;9.3726289E7
delegado 129: ;3.5;1.00390339E8
delegado 130: ;3.2;9.9715961E7
delegado 131: ;3.2;9.9456061E7
delegado 132: ;3.2;1.0233716E8
delegado 133: ;4.2;9.4966793E7
delegado 134: ;4.2;9.2847844E7
delegado 135: ;4.2;9.1786052E7
delegado 136: ;3.3;9.2032056E7
delegado 137: ;3.3;9.188894E7
delegado 138: ;3.3;9.2415081E7
delegado 139: ;2.4;8.9971377E7
delegado 140: ;2.4;9.0354158E7
delegado 141: ;2.4;9.1938189E7
delegado 142: ;0.9;9.2113001E7
delegado 143: ;0.9;9.2062044E7
delegado 144: ;0.9;1.02284009E8
delegado 145: ;0.9;1.02663377E8
delegado 146: ;0.9;1.04507797E8
delegado 147: ;0.9;1.03911195E8
delegado 148: ;1.2;9.9897356E7
delegado 149: ;1.2;1.0082871E8
delegado 150: ;1.2;1.02043125E8
delegado 151: ;4.4;1.01964619E8
delegado 152: ;4.4;1.02244999E8
delegado 153: ;4.4;1.00465188E8
delegado 154: ;5.3;9.7606521E7
delegado 155: ;5.3;9.9114239E7
delegado 156: ;5.3;9.9407054E7
delegado 157: ;1.6;1.00071436E8
delegado 158: ;1.6;1.00121417E8
delegado 159: ;1.6;9.1007811E7
delegado 160: ;1.4;9.1093145E7
delegado 161: ;1.4;9.3180156E7
delegado 162: ;1.4;9.1822136E7
delegado 163: ;1.3;9.3502473E7
delegado 164: ;1.3;9.09571E7
delegado 165: ;1.3;9.01674E7
delegado 166: ;4.4;9.0323194E7
delegado 167: ;4.4;9.0636977E7
delegado 168: ;4.4;9.0822516E7
delegado 169: ;3.7;9.0536528E7
delegado 170: ;3.7;1.02595111E8
delegado 171: ;3.7;1.0199607E8
delegado 172: ;3.4;1.01361677E8
delegado 173: ;3.4;1.0149114E8
delegado 174: ;3.4;1.037554E8
delegado 175: ;1.3;1.01336321E8
delegado 176: ;1.3;1.01145174E8
delegado 177: ;1.3;1.01276344E8
delegado 178: ;2.0;1.00782873E8
delegado 179: ;2.0;9.9653059E7
delegado 180: ;2.0;9.1848467E7
delegado 181: ;1.6;9.11658E7
delegado 182: ;1.6;9.2306342E7
delegado 183: ;1.6;9.3832835E7
delegado 184: ;1.7;9.4350198E7
delegado 185: ;1.7;9.0060855E7
delegado 186: ;1.7;9.0178615E7
delegado 187: ;0.6;8.9826797E7
delegado 188: ;0.6;9.0047445E7
delegado 189: ;0.6;9.1788247E7
delegado 190: ;2.6;8.896103E7
delegado 191: ;2.6;1.05634685E8
delegado 192: ;2.6;8.9188504E7
delegado 193: ;8.2;1.05328461E8
delegado 194: ;8.2;8.8481944E7
delegado 195: ;8.2;9.0229328E7
delegado 196: ;8.8;1.02827461E8
delegado 197: ;8.8;1.02446386E8
delegado 198: ;8.8;1.04615317E8
delegado 199: ;9.3;1.02681175E8
delegado 200: ;9.3;1.02752611E8
delegado 201: ;9.3;1.00404724E8
delegado 202: ;6.7;1.02416397E8
delegado 203: ;6.7;1.0193658E8
delegado 204: ;6.7;1.02658988E8
delegado 205: ;5.9;1.0426033E8
delegado 206: ;5.9;1.00676328E8
delegado 207: ;5.9;9.8862628E7
delegado 208: ;1.6;1.00834561E8
delegado 209: ;1.6;1.00837974E8
delegado 210: ;1.6;9.8524464E7
delegado 211: ;7.6;9.2349496E7
delegado 212: ;7.6;9.2123728E7
delegado 213: ;7.6;9.3447859E7
delegado 214: ;8.7;9.1591492E7
delegado 215: ;8.7;9.2396795E7
delegado 216: ;8.7;9.253406E7
delegado 217: ;8.3;9.2089839E7
delegado 218: ;8.3;9.224539E7
delegado 219: ;8.3;9.2664986E7
delegado 220: ;0.0;9.2881001E7
delegado 221: ;0.0;9.2310486E7
delegado 222: ;0.0;9.482514E7
delegado 223: ;4.8;9.4203182E7
delegado 224: ;4.8;9.3329855E7
delegado 225: ;4.8;9.3983509E7
delegado 226: ;5.2;9.1872849E7
delegado 227: ;5.2;8.9697822E7
delegado 228: ;5.2;9.0416817E7
delegado 229: ;0.0;9.1358166E7
delegado 230: ;0.0;9.1688041E7
delegado 231: ;0.0;9.1765816E7
delegado 232: ;6.1;8.9745365E7
delegado 233: ;6.1;9.161124E7
delegado 234: ;6.1;9.2799325E7
delegado 235: ;2.0;9.3501741E7
delegado 236: ;2.0;9.1817747E7
delegado 237: ;2.0;9.4215128E7
delegado 238: ;0.0;9.0467286E7
delegado 239: ;0.0;9.1593199E7
delegado 240: ;0.0;9.1341587E7
delegado 241: ;0.7;8.9161197E7
delegado 242: ;0.7;9.0142531E7
delegado 243: ;0.7;8.9026614E7
delegado 244: ;4.8;9.2263188E7
delegado 245: ;4.8;9.1545899E7
delegado 246: ;4.8;9.1413511E7
delegado 247: ;2.3;9.1545899E7
delegado 248: ;2.3;9.0830806E7
delegado 249: ;2.3;9.0570661E7
delegado 250: ;2.4;9.0261023E7
delegado 251: ;2.4;8.8966637E7
delegado 252: ;2.4;8.9318942E7
delegado 253: ;1.6;9.1267469E7
delegado 254: ;1.6;9.0798623E7
delegado 255: ;1.6;1.04117214E8
delegado 256: ;1.9;1.03614478E8
delegado 257: ;1.9;1.02836969E8
delegado 258: ;1.9;1.04583622E8
delegado 259: ;1.6;9.49173E7
delegado 260: ;1.6;9.501336E7
delegado 261: ;1.6;9.5454656E7
delegado 262: ;4.4;9.4318259E7
delegado 263: ;4.4;9.7360517E7
delegado 264: ;4.4;9.5766001E7
delegado 265: ;10.0;9.3322053E7
delegado 266: ;10.0;9.396059E7
delegado 267: ;10.0;9.6382596E7
delegado 268: ;3.2;9.5650679E7
delegado 269: ;3.2;9.4034952E7
delegado 270: ;3.2;9.7549225E7
delegado 271: ;1.9;9.339422E7
delegado 272: ;1.9;9.4422853E7
delegado 273: ;1.9;9.2196872E7
delegado 274: ;0.7;9.1551263E7
delegado 275: ;0.7;9.2982426E7
delegado 276: ;0.7;9.1664391E7
delegado 277: ;2.4;9.2311705E7
delegado 278: ;2.4;9.0987576E7
delegado 279: ;2.4;9.1816773E7
delegado 280: ;3.4;9.1726563E7
delegado 281: ;3.4;9.2369488E7
delegado 282: ;3.4;9.0451438E7
delegado 283: ;3.1;8.9198256E7
delegado 284: ;3.1;9.0856162E7
delegado 285: ;3.1;8.951594E7
delegado 286: ;3.4;9.082593E7
delegado 287: ;3.4;8.9475955E7
delegado 288: ;3.4;1.05153405E8
delegado 289: ;0.3;1.04198647E8
delegado 290: ;0.3;1.03017389E8
delegado 291: ;0.3;9.0527751E7
delegado 292: ;2.3;8.9638332E7
delegado 293: ;2.3;1.03715172E8
delegado 294: ;2.3;1.02011917E8
delegado 295: ;6.2;1.01845396E8
delegado 296: ;6.2;1.01948283E8
delegado 297: ;6.2;1.01882942E8
delegado 298: ;7.4;1.02033616E8
delegado 299: ;7.4;1.02151621E8
delegado 300: ;7.4;1.00137021E8
delegado 301: ;6.9;1.01479437E8
delegado 302: ;6.9;1.00379856E8
delegado 303: ;6.9;9.8840442E7
delegado 304: ;5.7;1.00858697E8
delegado 305: ;5.7;9.8614186E7
delegado 306: ;5.7;1.01067155E8
delegado 307: ;7.2;1.001792E8
delegado 308: ;7.2;9.9064258E7
delegado 309: ;7.2;9.7786452E7
delegado 310: ;6.6;9.7790353E7
delegado 311: ;6.6;9.756166E7
delegado 312: ;6.6;9.7407327E7
delegado 313: ;9.3;9.8063907E7
