delegado;Memoria;Tiempo
delegado 162: ;4,6;2,91568E+15
delegado 163: ;5,9;3,74179E+15
delegado 164: ;6,7;3,91626E+15
delegado 165: ;6,7;4,70545E+15
delegado 166: ;5,7;3,97268E+15
delegado 167: ;4,9;4,92308E+15
delegado 168: ;4,9;3,76061E+15
delegado 169: ;5,4;3,8752E+15
delegado 170: ;4,7;3,9404E+15
delegado 171: ;4,7;6,91734E+15
delegado 172: ;4,3;6,13432E+15
delegado 173: ;6,5;6,02526E+15
delegado 174: ;6,5;3,02653E+15
delegado 175: ;6,0;1,80544E+15
delegado 176: ;6,6;3,92164E+15
delegado 177: ;6,6;5,0379E+15
delegado 178: ;6,9;5,17801E+15
delegado 179: ;5,4;7,1244E+15
delegado 180: ;5,4;4,02259E+15
delegado 181: ;5,8;1,78098E+15
delegado 182: ;4,7;3,72373E+15
delegado 183: ;4,7;2,89206E+15
delegado 184: ;5,5;2,76631E+15
delegado 185: ;5,6;3,93548E+15
delegado 186: ;5,6;1,77629E+15
delegado 187: ;6,0;2,85229E+15
delegado 188: ;5,7;1,81597E+15
delegado 189: ;5,7;3,93813E+15
delegado 190: ;5,4;3,87964E+15
delegado 191: ;5,8;3,79238E+15
delegado 192: ;5,8;6,03093E+15
delegado 193: ;5,4;4,04015E+15
delegado 194: ;6,2;4,01116E+15
delegado 195: ;6,2;1,86096E+15
delegado 196: ;5,1;4,04315E+15
delegado 197: ;4,8;2,95257E+15
delegado 198: ;4,8;7,15086E+15
delegado 199: ;5,0;6,13851E+15
delegado 200: ;5,4;3,86168E+15
delegado 201: ;5,4;3,90209E+15
delegado 202: ;5,4;5,97139E+15
delegado 203: ;5,3;6,07007E+15
delegado 204: ;5,3;4,93688E+15
delegado 205: ;5,1;5,05E+15
delegado 206: ;5,8;3,04148E+15
delegado 207: ;5,8;4,9634E+15
delegado 208: ;5,7;2,83379E+15
delegado 209: ;4,6;3,85451E+15
delegado 210: ;4,6;3,78938E+15
delegado 211: ;5,4;1,87915E+15
delegado 212: ;7,7;3,86414E+15
delegado 213: ;7,7;2,78832E+15
delegado 214: ;7,0;1,96147E+15
delegado 215: ;5,8;2,87435E+15
delegado 216: ;5,8;1,87068E+15
delegado 217: ;5,5;1,86466E+15
delegado 218: ;5,7;1,5697E+15
delegado 219: ;5,7;1,56277E+15
delegado 220: ;5,2;1,76039E+15
delegado 221: ;4,2;1,75589E+15
delegado 222: ;4,2;1,67195E+15
delegado 223: ;4,7;1,63978E+15
delegado 224: ;4,9;2,75844E+15
delegado 225: ;4,9;1,64051E+15
delegado 226: ;5,0;1,64648E+15
delegado 227: ;5,5;2,8102E+15
delegado 228: ;5,5;2,7734E+15
delegado 229: ;5,7;2,65902E+15
delegado 230: ;5,8;2,74743E+15
delegado 231: ;5,8;2,78837E+15
delegado 232: ;5,7;2,59255E+15
delegado 233: ;5,9;1,49E+15
delegado 234: ;5,9;1,3923E+15
delegado 235: ;6,4;1,60982E+15
delegado 236: ;4,4;3,72694E+15
delegado 237: ;4,4;1,75641E+15
delegado 238: ;4,5;1,74069E+15
delegado 239: ;5,0;4,03858E+15
delegado 240: ;5,0;2,7711E+15
delegado 241: ;4,1;2,72923E+15
delegado 242: ;4,4;2,79147E+15
delegado 243: ;4,4;2,77875E+15
delegado 244: ;4,5;2,78E+15
delegado 245: ;5,5;2,67562E+15
delegado 246: ;5,5;2,69369E+15
delegado 247: ;6,2;2,58001E+15
delegado 248: ;6,1;3,72605E+15
delegado 249: ;6,1;1,54836E+15
delegado 250: ;6,0;1,68141E+15
delegado 251: ;5,3;5,88107E+15
delegado 252: ;5,3;3,7193E+15
delegado 253: ;6,7;3,74848E+15
delegado 254: ;9,6;5,93261E+15
delegado 255: ;9,6;6,83E+15
delegado 256: ;9,7;5,90766E+15
delegado 257: ;7,0;5,93121E+15
delegado 258: ;7,0;6,94854E+15
delegado 259: ;5,9;4,94228E+15
delegado 260: ;5,4;6,76097E+15
delegado 261: ;5,4;4,85819E+15
delegado 262: ;6,0;5,90799E+15
delegado 263: ;5,9;4,91392E+15
delegado 264: ;5,9;3,92487E+15
delegado 265: ;4,3;2,84653E+15
delegado 266: ;5,2;2,99647E+15
delegado 267: ;5,2;3,85729E+15
delegado 268: ;6,0;4,8202E+15
delegado 269: ;5,4;3,89745E+15
delegado 270: ;5,4;3,89508E+15
delegado 271: ;5,2;3,91205E+15
delegado 272: ;4,4;3,63414E+15
delegado 273: ;4,4;3,92827E+15
delegado 274: ;4,8;1,89897E+15
delegado 275: ;4,5;1,7702E+15
delegado 276: ;4,5;1,64928E+15
delegado 277: ;4,3;1,7314E+15
delegado 278: ;4,8;2,8358E+15
delegado 279: ;4,8;1,929E+15
delegado 280: ;4,1;1,73625E+15
delegado 281: ;4,4;2,9494E+15
delegado 282: ;4,4;2,84054E+15
delegado 283: ;4,4;2,88502E+15
delegado 284: ;4,3;3,00868E+15
delegado 285: ;4,3;3,929E+15
delegado 286: ;4,5;2,81494E+15
delegado 287: ;4,9;3,86032E+15
delegado 288: ;4,9;3,86259E+15
delegado 289: ;4,2;5,11389E+15
delegado 290: ;4,3;5,05286E+15
delegado 291: ;4,3;4,96614E+15
delegado 292: ;4,3;3,90226E+15
delegado 293: ;5,9;5,04645E+15
delegado 294: ;5,9;7,11532E+15
delegado 295: ;6,3;4,99688E+15
delegado 296: ;5,5;4,71423E+15
delegado 297: ;5,5;4,76004E+15
delegado 298: ;4,9;9,0725E+15
delegado 299: ;5,5;6,80248E+15
delegado 300: ;5,5;4,90734E+15
