delegado;memoria;tiempo
delegado 1: ;0.0;2.28826836E8
delegado 0: ;0.0;2.41757526E8
delegado 2: ;0.0;9.9978789E7
delegado 3: ;10.9;8.8483406E7
delegado 4: ;10.9;9.9939292E7
delegado 5: ;10.9;9.5677255E7
delegado 6: ;10.9;1.01059596E8
delegado 7: ;10.9;1.00788968E8
delegado 9: ;6.1;9.0748886E7
delegado 8: ;6.1;9.0702806E7
delegado 11: ;6.1;9.1682921E7
delegado 10: ;6.1;9.1666342E7
delegado 13: ;6.1;9.9080106E7
delegado 12: ;6.1;9.911619E7
delegado 14: ;3.8;1.03587171E8
delegado 15: ;3.8;9.6937507E7
delegado 16: ;3.8;9.3519539E7
delegado 17: ;3.8;1.02564391E8
delegado 18: ;3.8;1.00298179E8
delegado 19: ;3.8;1.02706775E8
delegado 20: ;2.8;1.01345098E8
delegado 21: ;2.8;9.1381084E7
delegado 22: ;2.8;1.05313832E8
delegado 23: ;2.8;1.01623041E8
delegado 24: ;2.8;9.9021835E7
delegado 25: ;2.8;9.9063771E7
delegado 26: ;3.3;1.01338271E8
delegado 27: ;3.3;1.02159422E8
delegado 28: ;3.3;9.6846078E7
delegado 29: ;3.3;9.7781088E7
delegado 30: ;3.3;9.9047923E7
delegado 31: ;3.3;1.03124664E8
delegado 32: ;2.7;1.01602074E8
delegado 33: ;2.7;1.02271574E8
delegado 34: ;2.7;9.8771443E7
delegado 35: ;2.7;9.9133988E7
delegado 36: ;2.7;1.04613855E8
delegado 37: ;2.7;1.00902827E8
delegado 38: ;3.1;1.0195706E8
delegado 39: ;3.1;1.03143194E8
delegado 40: ;3.1;9.420952E7
delegado 41: ;3.1;9.7788402E7
delegado 42: ;3.1;9.952579E7
delegado 43: ;3.1;1.01814919E8
delegado 44: ;12.4;1.02109928E8
delegado 45: ;12.4;1.01545997E8
delegado 46: ;12.4;9.9784228E7
delegado 47: ;12.4;1.00633905E8
delegado 48: ;12.4;1.02369587E8
delegado 49: ;12.4;1.01365091E8
delegado 50: ;12.9;1.0049152E8
delegado 51: ;12.9;9.9579428E7
delegado 52: ;12.9;1.00381806E8
delegado 53: ;12.9;1.01171018E8
delegado 54: ;12.9;1.0163767E8
delegado 55: ;12.9;1.04203279E8
delegado 56: ;4.4;1.00174324E8
delegado 57: ;4.4;1.00045592E8
delegado 58: ;4.4;9.9926369E7
delegado 59: ;4.4;1.00689007E8
delegado 60: ;4.4;9.5545841E7
delegado 61: ;4.4;9.9326598E7
delegado 62: ;6.6;1.00438614E8
delegado 63: ;6.6;1.00201143E8
delegado 64: ;6.6;1.01814676E8
delegado 65: ;6.6;1.01437746E8
delegado 66: ;6.6;9.9593813E7
delegado 67: ;6.6;1.007936E8
delegado 68: ;6.6;1.02264991E8
delegado 69: ;6.6;1.03071514E8
delegado 70: ;6.6;9.4095173E7
delegado 71: ;6.6;1.00878203E8
delegado 72: ;6.6;1.02699217E8
delegado 73: ;6.6;1.03555232E8
delegado 74: ;18.0;1.02122363E8
delegado 75: ;18.0;1.14126576E8
delegado 76: ;18.0;1.13782073E8
