delegado;memoria;tiempo
delegado 1: ;0.0;2.60697394E8
delegado 0: ;0.0;2.60903413E8
delegado 2: ;12.1;9.1994022E7
delegado 3: ;12.1;9.1161168E7
delegado 5: ;12.1;9.2886121E7
delegado 4: ;12.1;9.1566136E7
delegado 6: ;12.1;9.2141526E7
delegado 7: ;12.1;9.1906494E7
delegado 8: ;4.0;8.9757068E7
delegado 9: ;4.0;9.0002828E7
delegado 10: ;4.0;9.1971104E7
delegado 11: ;4.0;8.9709525E7
delegado 12: ;4.0;9.0668673E7
delegado 13: ;4.0;9.0793991E7
delegado 14: ;1.4;9.0851042E7
delegado 15: ;1.4;1.06693551E8
delegado 16: ;1.4;9.1012688E7
delegado 17: ;1.4;1.06011372E8
delegado 18: ;1.4;8.7964823E7
delegado 19: ;1.4;1.03972148E8
delegado 20: ;3.9;1.03955081E8
delegado 21: ;3.9;8.8351993E7
delegado 22: ;3.9;1.05181687E8
delegado 23: ;3.9;1.05450122E8
delegado 24: ;3.9;1.01217098E8
delegado 25: ;3.9;1.01860024E8
delegado 26: ;8.3;1.01475049E8
delegado 27: ;8.3;1.01207102E8
delegado 28: ;8.3;1.00531261E8
delegado 29: ;8.3;1.01687651E8
delegado 30: ;6.8;1.01378743E8
delegado 31: ;6.8;1.01256351E8
delegado 32: ;6.8;1.03910707E8
delegado 33: ;6.8;1.03717366E8
delegado 34: ;6.8;1.00827247E8
delegado 35: ;6.8;1.02123095E8
delegado 36: ;8.0;1.01290485E8
delegado 37: ;8.0;9.8047572E7
delegado 38: ;8.0;9.9748876E7
delegado 39: ;8.0;1.01349243E8
delegado 40: ;8.0;1.03225845E8
delegado 41: ;8.0;1.01853197E8
delegado 42: ;3.9;1.01033509E8
delegado 43: ;3.9;9.6657125E7
delegado 44: ;3.9;9.391768E7
delegado 45: ;3.9;9.9114483E7
delegado 46: ;3.9;1.03463561E8
delegado 47: ;3.9;1.03855606E8
delegado 48: ;6.8;9.5240348E7
delegado 49: ;6.8;9.6125377E7
delegado 50: ;6.8;1.04639698E8
delegado 51: ;6.8;1.00499322E8
delegado 52: ;6.8;9.922566E7
delegado 53: ;6.8;1.03568398E8
delegado 54: ;3.8;1.00352305E8
delegado 55: ;3.8;9.2846136E7
delegado 56: ;3.8;9.30307E7
delegado 57: ;3.8;9.188577E7
delegado 58: ;3.8;9.3617306E7
delegado 59: ;3.8;1.06176675E8
delegado 60: ;3.1;9.326939E7
delegado 61: ;3.1;9.3199905E7
delegado 62: ;3.1;9.134305E7
delegado 63: ;3.1;9.2609397E7
delegado 64: ;3.1;9.4094929E7
delegado 65: ;3.1;9.3963517E7
delegado 66: ;3.5;9.044583E7
delegado 67: ;3.5;1.07100469E8
delegado 68: ;3.5;9.1843348E7
delegado 69: ;3.5;9.174241E7
delegado 70: ;3.5;8.9918226E7
delegado 71: ;2.5;9.2295127E7
delegado 72: ;2.5;1.04234487E8
delegado 73: ;2.5;9.2172734E7
delegado 74: ;2.5;9.255064E7
delegado 75: ;2.5;9.017642E7
delegado 76: ;0.8;1.03604239E8
delegado 77: ;0.8;8.9864344E7
delegado 78: ;0.8;1.0422449E8
delegado 79: ;0.8;1.03110768E8
delegado 80: ;0.8;8.8157433E7
delegado 81: ;0.8;1.04535836E8
delegado 82: ;2.6;1.06035508E8
delegado 83: ;2.6;1.0474478E8
delegado 84: ;2.6;9.1115819E7
delegado 85: ;2.6;1.0377393E8
delegado 86: ;2.6;1.02245487E8
delegado 87: ;2.6;1.01771277E8
delegado 88: ;1.8;1.02557076E8
delegado 89: ;1.8;1.02630462E8
delegado 90: ;1.8;1.01373136E8
delegado 91: ;1.8;1.02608763E8
delegado 92: ;1.8;1.02811126E8
delegado 93: ;4.0;1.02536108E8
delegado 94: ;4.0;1.00745326E8
delegado 95: ;4.0;1.02560489E8
delegado 96: ;4.0;9.8122421E7
delegado 97: ;4.0;9.8275534E7
delegado 98: ;2.7;1.00429105E8
delegado 99: ;2.7;9.9931977E7
delegado 100: ;2.7;9.8920655E7
delegado 101: ;2.7;1.00182126E8
delegado 102: ;2.7;9.979715E7
delegado 103: ;2.7;1.00786042E8
delegado 104: ;3.2;9.8354528E7
delegado 105: ;3.2;9.8677088E7
delegado 106: ;3.2;9.4187333E7
delegado 107: ;3.2;9.4112484E7
delegado 108: ;3.2;9.6475E7
delegado 109: ;3.2;9.6377963E7
delegado 110: ;5.0;9.4675196E7
delegado 111: ;5.0;9.5134534E7
delegado 112: ;5.0;9.6679069E7
delegado 113: ;5.0;9.4934854E7
delegado 114: ;5.0;9.7324188E7
delegado 115: ;5.0;9.6551799E7
delegado 116: ;4.5;9.7261286E7
delegado 117: ;4.5;9.4279494E7
delegado 118: ;4.5;9.4234632E7
delegado 119: ;4.5;9.4468203E7
delegado 120: ;4.5;9.2343645E7
delegado 121: ;4.5;9.2897092E7
