delegado;memoria;tiempo
delegado 1: ;0.0;2.37665424E8
delegado 0: ;0.0;2.37685173E8
delegado 2: ;9.5;1.06035508E8
delegado 3: ;9.5;1.02743103E8
delegado 5: ;9.5;9.2245145E7
delegado 4: ;9.5;1.06758404E8
delegado 6: ;9.5;8.8356869E7
delegado 7: ;9.5;8.8853022E7
delegado 8: ;1.2;1.03347751E8
delegado 9: ;1.2;1.00940618E8
delegado 10: ;1.2;1.03335803E8
delegado 11: ;1.2;1.03690059E8
delegado 12: ;1.2;1.04153298E8
delegado 13: ;1.2;1.01994606E8
delegado 14: ;3.5;1.03777587E8
delegado 15: ;3.5;1.03482577E8
delegado 16: ;3.5;1.0260852E8
delegado 17: ;3.5;1.03000809E8
delegado 18: ;5.0;9.965379E7
delegado 19: ;5.0;9.9648427E7
delegado 21: ;5.0;1.03769785E8
delegado 20: ;5.0;1.02991789E8
delegado 22: ;5.0;9.8644662E7
delegado 23: ;5.0;9.8581028E7
delegado 24: ;3.6;1.00939886E8
delegado 25: ;3.6;1.01333151E8
delegado 26: ;3.6;1.01975834E8
delegado 27: ;3.6;1.02592429E8
delegado 28: ;3.6;9.9658179E7
delegado 29: ;3.6;9.8769493E7
delegado 30: ;5.1;1.0194487E8
delegado 31: ;5.1;9.9341958E7
delegado 32: ;5.1;1.02060923E8
delegado 33: ;5.1;1.01855635E8
delegado 35: ;5.1;1.03004711E8
delegado 34: ;5.1;1.01857343E8
delegado 36: ;5.3;9.9514819E7
delegado 37: ;5.3;1.04711866E8
delegado 38: ;5.3;9.9516769E7
delegado 39: ;5.3;9.7612616E7
delegado 40: ;5.3;9.8805089E7
delegado 41: ;5.3;1.00205775E8
delegado 42: ;5.1;9.5192317E7
delegado 43: ;5.1;9.8562985E7
delegado 44: ;5.1;9.991296E7
delegado 45: ;5.1;9.8435229E7
delegado 46: ;5.1;9.5944958E7
delegado 47: ;5.1;9.9556754E7
delegado 48: ;7.7;9.7870566E7
delegado 49: ;7.7;9.7901774E7
delegado 50: ;7.7;9.8562986E7
delegado 51: ;7.7;1.01414096E8
delegado 52: ;7.7;9.5960805E7
delegado 53: ;7.7;9.7365149E7
delegado 54: ;5.3;9.8003442E7
delegado 55: ;5.3;1.1166873E8
delegado 56: ;5.3;9.5977628E7
delegado 57: ;5.3;9.7970285E7
delegado 58: ;5.3;9.8097065E7
delegado 59: ;5.3;9.5707487E7
delegado 60: ;5.2;9.6724905E7
delegado 61: ;5.2;9.8580297E7
delegado 62: ;5.2;9.7459747E7
delegado 63: ;5.2;1.00580999E8
delegado 64: ;5.2;9.5675304E7
delegado 65: ;5.2;9.8701226E7
delegado 66: ;3.3;9.4919737E7
delegado 67: ;3.3;9.4930221E7
delegado 69: ;3.3;9.6818284E7
delegado 68: ;3.3;9.6764158E7
delegado 70: ;3.3;9.5136241E7
delegado 71: ;3.3;9.5037742E7
delegado 73: ;4.7;9.4301924E7
delegado 72: ;4.7;9.3580248E7
delegado 74: ;4.7;9.3777733E7
delegado 75: ;4.7;9.3550503E7
delegado 76: ;4.7;9.2354616E7
delegado 77: ;4.7;9.1840178E7
delegado 78: ;1.0;9.4846839E7
delegado 79: ;1.0;9.249115E7
delegado 80: ;1.0;9.1103142E7
delegado 81: ;1.0;9.1485922E7
delegado 82: ;1.0;9.1991584E7
delegado 83: ;1.0;9.4249261E7
delegado 84: ;0.7;9.4325086E7
delegado 85: ;0.7;9.1485923E7
delegado 86: ;0.7;9.4396766E7
delegado 87: ;0.7;9.4140766E7
delegado 88: ;0.7;9.2481397E7
delegado 89: ;0.7;9.2936834E7
delegado 90: ;3.3;8.9738539E7
delegado 91: ;3.3;8.9367216E7
delegado 93: ;3.3;9.0744497E7
delegado 92: ;3.3;9.0549694E7
delegado 94: ;3.3;9.0926379E7
delegado 95: ;3.3;9.108193E7
delegado 97: ;0.0;9.0661602E7
delegado 96: ;0.0;9.0593579E7
delegado 99: ;0.0;9.0739134E7
delegado 98: ;0.0;9.0749862E7
delegado 101: ;0.0;1.04738197E8
delegado 100: ;0.0;1.04577771E8
delegado 103: ;0.0;8.9868001E7
delegado 102: ;0.0;8.9774623E7
delegado 104: ;0.0;9.0026722E7
delegado 105: ;0.0;8.9702942E7
delegado 106: ;0.0;8.8958104E7
delegado 107: ;0.0;8.8946889E7
delegado 109: ;0.0;8.8196198E7
delegado 108: ;0.0;8.8179376E7
delegado 110: ;0.0;8.8314203E7
delegado 111: ;0.0;8.8159627E7
delegado 113: ;0.0;1.00884054E8
delegado 112: ;0.0;1.01199056E8
delegado 114: ;9.1;1.020441E8
delegado 115: ;9.1;1.0249076E8
delegado 116: ;9.1;1.03021777E8
delegado 117: ;9.1;1.02765289E8
delegado 118: ;9.1;1.00922576E8
delegado 119: ;9.1;1.01727879E8
delegado 120: ;7.0;1.03730532E8
delegado 121: ;7.0;1.01194667E8
delegado 122: ;7.0;9.9804221E7
delegado 123: ;7.0;9.9947824E7
delegado 124: ;7.0;1.02963994E8
delegado 125: ;7.0;1.02361297E8
delegado 126: ;4.4;1.01033266E8
delegado 127: ;4.4;1.02254264E8
delegado 128: ;4.4;1.02800154E8
delegado 129: ;4.4;9.9798613E7
delegado 130: ;4.4;1.01663026E8
delegado 131: ;4.4;1.0249783E8
delegado 132: ;7.7;9.2019866E7
delegado 133: ;7.7;9.1571987E7
delegado 134: ;7.7;9.243483E7
delegado 135: ;7.7;9.327134E7
delegado 136: ;7.7;9.2010601E7
delegado 137: ;7.7;9.156126E7
delegado 138: ;7.6;9.4169535E7
delegado 139: ;7.6;9.300827E7
delegado 140: ;7.6;9.2513336E7
delegado 141: ;7.6;9.3665581E7
delegado 142: ;7.6;9.1613679E7
delegado 143: ;7.6;9.0751811E7
delegado 144: ;6.2;9.2470914E7
delegado 145: ;6.2;9.1154585E7
delegado 146: ;6.2;9.1714128E7
delegado 147: ;6.2;9.1211393E7
delegado 148: ;6.2;9.1470562E7
delegado 149: ;6.2;9.0831049E7
delegado 150: ;5.8;9.0725724E7
delegado 151: ;5.8;9.1275271E7
delegado 152: ;5.8;9.0846166E7
delegado 153: ;5.8;9.1437404E7
delegado 154: ;5.8;9.1558821E7
delegado 155: ;5.8;9.1474951E7
delegado 156: ;5.5;9.4685437E7
delegado 157: ;5.5;9.2932201E7
delegado 158: ;5.5;9.265816E7
delegado 159: ;5.5;9.2157375E7
delegado 160: ;5.5;9.1728513E7
delegado 161: ;5.5;9.0918577E7
delegado 162: ;7.6;9.1776787E7
delegado 163: ;7.6;9.0910288E7
delegado 164: ;7.6;9.0575294E7
delegado 165: ;7.6;1.03409435E8
delegado 166: ;7.6;8.9539834E7
delegado 167: ;7.6;1.05102936E8
delegado 168: ;8.1;8.9159002E7
delegado 169: ;8.1;8.949546E7
delegado 170: ;8.1;8.9482294E7
delegado 171: ;8.1;8.7897044E7
delegado 172: ;8.1;8.8830835E7
delegado 173: ;8.1;9.1953305E7
delegado 174: ;7.1;1.10376052E8
delegado 175: ;7.1;1.04989078E8
delegado 176: ;7.1;1.01581106E8
delegado 177: ;7.1;1.02023864E8
delegado 178: ;7.1;1.02572192E8
delegado 179: ;7.1;1.0198973E8
delegado 180: ;9.6;1.00998888E8
delegado 181: ;9.6;1.0089405E8
delegado 182: ;9.6;1.00901364E8
delegado 183: ;9.6;1.01167605E8
delegado 184: ;9.6;1.02668985E8
delegado 185: ;9.6;1.02531232E8
delegado 186: ;6.6;1.00692176E8
delegado 187: ;6.6;1.01029609E8
delegado 188: ;6.6;1.0012288E8
delegado 189: ;6.6;1.00158233E8
delegado 190: ;6.6;9.9965867E7
delegado 191: ;6.6;1.0028794E8
delegado 192: ;11.0;9.8792899E7
delegado 193: ;11.0;9.910473E7
delegado 194: ;11.0;9.8114376E7
delegado 195: ;11.0;9.8702201E7
delegado 196: ;11.0;9.7022353E7
delegado 197: ;11.0;9.6971396E7
delegado 198: ;8.7;9.6132935E7
delegado 199: ;8.7;9.6803168E7
delegado 200: ;8.7;9.7798154E7
delegado 201: ;8.7;9.7774505E7
delegado 202: ;8.7;9.6418192E7
delegado 203: ;8.7;9.6293605E7
delegado 204: ;9.1;9.6632744E7
delegado 205: ;9.1;9.6967252E7
