delegado;memoria;tiempo
delegado 0: ;0.0;2.29817435E8
delegado 1: ;0.0;2.29745268E8
delegado 2: ;0.0;9.759433E7
delegado 3: ;0.0;9.7267625E7
delegado 5: ;8.4;9.0705488E7
delegado 4: ;8.4;9.0495567E7
delegado 6: ;8.4;9.0801793E7
delegado 7: ;8.4;9.073255E7
delegado 8: ;2.9;9.2834921E7
delegado 9: ;2.9;9.2218814E7
delegado 11: ;2.9;9.0885419E7
delegado 10: ;2.9;1.06343196E8
delegado 13: ;2.9;9.3342777E7
delegado 12: ;2.9;9.4354587E7
delegado 14: ;7.0;9.0558226E7
delegado 15: ;7.0;1.0628907E8
delegado 16: ;7.0;9.0133998E7
delegado 17: ;7.0;1.05723188E8
delegado 18: ;7.0;1.05368933E8
delegado 19: ;7.0;9.0221769E7
delegado 20: ;3.7;1.04292757E8
delegado 21: ;3.7;1.04090395E8
delegado 22: ;3.7;8.8734287E7
delegado 23: ;3.7;8.9078789E7
delegado 24: ;3.7;1.02052146E8
delegado 25: ;3.7;1.02868421E8
delegado 26: ;5.6;1.03365305E8
delegado 27: ;5.6;1.03402364E8
delegado 28: ;5.6;1.03899248E8
delegado 29: ;5.6;1.01607681E8
delegado 30: ;5.6;1.02201114E8
delegado 31: ;5.6;1.01983148E8
delegado 32: ;4.6;1.02275963E8
delegado 33: ;4.6;1.02060192E8
delegado 34: ;4.6;1.00060708E8
delegado 35: ;4.6;1.00626103E8
delegado 36: ;4.6;1.00609525E8
delegado 37: ;4.6;1.00358157E8
delegado 38: ;0.0;1.02981061E8
delegado 39: ;0.0;1.02857205E8
delegado 40: ;0.0;1.02067262E8
delegado 41: ;0.0;1.01747384E8
delegado 42: ;0.0;1.07072187E8
delegado 43: ;0.0;1.0487083E8
delegado 44: ;8.1;9.8748525E7
delegado 45: ;8.1;1.144801E8
delegado 46: ;8.1;1.0074557E8
delegado 47: ;8.1;1.02004115E8
delegado 48: ;8.1;1.00943299E8
delegado 49: ;8.1;1.01486263E8
delegado 50: ;5.2;1.0011776E8
delegado 51: ;5.2;1.01917563E8
delegado 52: ;5.2;1.01783224E8
delegado 53: ;5.2;1.00212846E8
delegado 54: ;5.2;9.7470719E7
delegado 55: ;5.2;9.6877773E7
delegado 56: ;4.8;1.00558568E8
delegado 57: ;4.8;9.7886414E7
delegado 58: ;4.8;9.8348433E7
delegado 59: ;4.8;1.00039497E8
delegado 60: ;4.8;1.12931909E8
delegado 61: ;4.8;9.8180205E7
delegado 62: ;5.1;1.02438584E8
delegado 63: ;5.1;9.7705263E7
delegado 64: ;5.1;9.5184027E7
delegado 65: ;5.1;9.6852174E7
delegado 66: ;5.1;9.6665172E7
delegado 67: ;2.6;9.4538663E7
delegado 68: ;2.6;9.7081111E7
delegado 69: ;2.6;9.7295663E7
delegado 70: ;2.6;9.4615463E7
delegado 71: ;2.6;9.5033597E7
delegado 72: ;5.9;9.7190338E7
delegado 73: ;5.9;9.5540965E7
delegado 74: ;5.9;9.4070061E7
delegado 75: ;5.9;9.2669618E7
delegado 76: ;5.9;9.2071797E7
delegado 77: ;5.9;9.4328743E7
delegado 78: ;3.1;9.3250129E7
delegado 79: ;3.1;1.00062659E8
delegado 80: ;3.1;1.03575225E8
delegado 81: ;3.1;1.12879246E8
delegado 82: ;3.1;1.02433952E8
delegado 83: ;3.1;1.05032475E8
delegado 84: ;4.1;1.0128E8
delegado 85: ;4.1;9.8761691E7
delegado 86: ;4.1;1.00240152E8
delegado 87: ;4.1;9.0473137E7
delegado 88: ;4.1;8.9035148E7
delegado 89: ;4.1;8.9419879E7
delegado 90: ;3.3;1.03131004E8
delegado 91: ;3.3;1.02731643E8
delegado 92: ;3.3;8.1774495E7
delegado 93: ;3.3;9.1368894E7
delegado 94: ;3.3;9.85703E7
delegado 95: ;3.3;9.9239802E7
delegado 96: ;35.0;9.1810677E7
delegado 97: ;35.0;1.0754469E8
delegado 98: ;35.0;9.1867972E7
delegado 99: ;35.0;9.2550152E7
delegado 100: ;35.0;9.3551966E7
delegado 101: ;6.6;9.2566243E7
delegado 102: ;6.6;9.3343996E7
delegado 103: ;6.6;9.2721062E7
delegado 104: ;6.6;9.2693024E7
delegado 105: ;6.6;9.4259258E7
delegado 106: ;6.6;9.2183706E7
delegado 107: ;2.4;9.1539317E7
delegado 108: ;2.4;9.1741679E7
delegado 109: ;2.4;9.0575537E7
delegado 110: ;2.4;9.1699744E7
delegado 111: ;2.4;9.1915515E7
delegado 112: ;2.2;9.034148E7
delegado 113: ;2.2;9.1294532E7
delegado 114: ;2.2;9.1864071E7
delegado 115: ;2.2;8.9955042E7
delegado 116: ;2.2;9.0927599E7
delegado 117: ;2.2;1.05670281E8
delegado 118: ;6.0;1.00322072E8
delegado 119: ;6.0;1.00723139E8
delegado 120: ;6.0;9.000161E7
delegado 121: ;6.0;9.852105E7
delegado 122: ;6.0;9.745097E7
delegado 123: ;6.4;1.01174431E8
delegado 124: ;6.4;1.01390934E8
delegado 125: ;6.4;9.1743629E7
delegado 126: ;6.4;9.3995456E7
delegado 127: ;6.4;9.3118959E7
delegado 128: ;6.4;9.0577244E7
delegado 129: ;4.4;1.03111499E8
delegado 130: ;4.4;1.02268893E8
delegado 131: ;4.4;9.1977443E7
delegado 132: ;4.4;9.5477818E7
delegado 133: ;4.4;9.115361E7
delegado 134: ;4.4;1.01776885E8
delegado 135: ;5.2;1.0328948E8
delegado 136: ;5.2;1.02350569E8
delegado 137: ;5.2;9.2341451E7
delegado 138: ;5.2;1.04792811E8
delegado 139: ;5.2;1.05288963E8
delegado 140: ;5.2;1.02848916E8
delegado 141: ;1.8;8.7051268E7
delegado 142: ;1.8;1.03180253E8
delegado 143: ;1.8;1.03106135E8
delegado 144: ;1.8;1.04223272E8
delegado 145: ;1.8;1.03318494E8
delegado 146: ;40.7;8.7807078E7
delegado 147: ;40.7;9.3186008E7
delegado 148: ;40.7;1.03713953E8
delegado 149: ;40.7;1.03664215E8
delegado 150: ;40.7;1.01974615E8
delegado 151: ;15.2;1.01962911E8
delegado 152: ;15.2;1.01701791E8
delegado 153: ;15.2;1.01565015E8
delegado 154: ;15.2;9.6660783E7
delegado 155: ;15.2;1.03109305E8
delegado 156: ;15.2;1.03931675E8
delegado 157: ;9.4;1.01049113E8
delegado 158: ;9.4;9.9665981E7
delegado 159: ;9.4;9.9222735E7
delegado 160: ;9.4;1.00399847E8
delegado 161: ;9.4;1.01921464E8
delegado 162: ;7.1;9.9403886E7
delegado 163: ;7.1;9.8764128E7
delegado 164: ;7.1;9.9609173E7
delegado 165: ;7.1;1.0228279E8
delegado 166: ;7.1;9.9563093E7
delegado 167: ;7.1;1.01553555E8
delegado 168: ;4.3;9.7777919E7
delegado 169: ;4.3;9.8695131E7
delegado 170: ;4.3;1.01516984E8
delegado 171: ;4.3;9.9325379E7
delegado 172: ;4.3;9.9080593E7
delegado 173: ;1.8;9.7371244E7
delegado 174: ;1.8;9.7725743E7
delegado 175: ;1.8;9.8099991E7
delegado 176: ;1.8;9.8164844E7
delegado 177: ;1.8;1.00088015E8
delegado 178: ;1.8;9.8344288E7
delegado 179: ;2.8;9.3301573E7
delegado 180: ;2.8;9.1440087E7
delegado 181: ;2.8;9.3810647E7
delegado 182: ;2.8;9.13155E7
delegado 183: ;2.8;9.4454793E7
delegado 184: ;2.8;9.0896878E7
delegado 185: ;2.4;9.2331942E7
delegado 186: ;2.4;9.4273154E7
delegado 187: ;2.4;9.4297048E7
delegado 188: ;2.4;9.3942792E7
delegado 189: ;2.4;9.3865017E7
delegado 190: ;2.4;9.1337198E7
delegado 191: ;4.1;8.8845707E7
delegado 192: ;4.1;9.0214455E7
delegado 193: ;4.1;9.0505076E7
delegado 194: ;4.1;9.1462761E7
delegado 195: ;4.1;8.9043681E7
delegado 196: ;4.1;8.8801334E7
delegado 197: ;4.2;9.1161899E7
delegado 198: ;4.2;9.2019866E7
delegado 199: ;4.2;9.2021816E7
delegado 200: ;4.2;9.1919416E7
delegado 201: ;4.2;1.04737953E8
delegado 202: ;4.2;1.04718937E8
delegado 203: ;3.1;1.04661641E8
delegado 204: ;3.1;1.02129434E8
delegado 205: ;3.1;8.7449898E7
delegado 206: ;3.1;8.895981E7
delegado 207: ;3.1;1.0621544E8
delegado 208: ;3.1;9.0006729E7
delegado 209: ;3.3;1.04372971E8
delegado 210: ;3.3;1.06114259E8
delegado 211: ;3.3;9.2381436E7
delegado 212: ;3.3;9.3099455E7
delegado 213: ;3.3;9.3228186E7
delegado 214: ;3.3;9.0536284E7
delegado 215: ;14.5;9.0764002E7
delegado 216: ;14.5;9.0350013E7
delegado 217: ;14.5;9.3117984E7
delegado 218: ;14.5;9.0535309E7
delegado 219: ;14.5;9.1072665E7
delegado 220: ;14.5;9.0926135E7
delegado 221: ;6.2;9.1684871E7
delegado 222: ;6.2;1.0266167E8
delegado 223: ;6.2;1.03600825E8
delegado 224: ;6.2;1.03697373E8
delegado 225: ;6.2;8.8182789E7
delegado 226: ;6.2;1.03369693E8
delegado 227: ;7.7;1.0444977E8
delegado 228: ;7.7;8.9999658E7
delegado 229: ;7.7;8.868016E7
delegado 230: ;7.7;8.9893601E7
delegado 231: ;7.7;1.04398082E8
delegado 232: ;4.0;1.03783682E8
delegado 233: ;4.0;1.03252909E8
delegado 234: ;4.0;1.03768322E8
delegado 235: ;4.0;1.01621822E8
delegado 236: ;4.0;1.03199271E8
delegado 237: ;4.7;1.03778562E8
delegado 238: ;4.7;1.01658881E8
delegado 239: ;4.7;1.02022645E8
delegado 240: ;4.7;1.01825159E8
delegado 241: ;4.7;1.00939886E8
delegado 242: ;4.7;1.00568565E8
delegado 243: ;3.8;1.01295117E8
delegado 244: ;3.8;1.01195155E8
delegado 245: ;3.8;9.9083275E7
delegado 246: ;3.8;9.9173485E7
delegado 247: ;3.8;1.01465296E8
delegado 248: ;3.8;9.9574064E7
delegado 249: ;4.0;1.02035811E8
delegado 250: ;4.0;1.00974019E8
delegado 251: ;4.0;1.00369859E8
delegado 252: ;4.0;1.00800427E8
delegado 253: ;4.0;9.9169584E7
delegado 254: ;4.0;9.924931E7
delegado 255: ;5.0;9.6770741E7
delegado 256: ;5.0;9.6437941E7
delegado 257: ;5.0;9.8713172E7
delegado 258: ;5.0;9.953603E7
delegado 259: ;5.0;9.8355992E7
delegado 260: ;5.0;9.989248E7
delegado 261: ;2.1;9.8087557E7
delegado 262: ;2.1;9.9005256E7
delegado 263: ;2.1;9.278299E7
delegado 264: ;2.1;9.1213587E7
delegado 265: ;2.1;9.3466389E7
delegado 266: ;2.1;9.1797511E7
delegado 267: ;2.7;9.386453E7
delegado 268: ;2.7;9.3261101E7
delegado 269: ;2.7;9.1687309E7
delegado 270: ;2.7;9.3498328E7
delegado 271: ;2.7;9.3516369E7
delegado 272: ;2.7;9.2921718E7
delegado 273: ;5.1;9.2268308E7
delegado 274: ;5.1;9.1299164E7
delegado 275: ;5.1;9.0950517E7
delegado 276: ;5.1;9.1748993E7
delegado 277: ;5.1;8.9575674E7
delegado 278: ;5.1;8.9908474E7
delegado 279: ;3.9;9.1890403E7
delegado 280: ;3.9;8.9619072E7
delegado 281: ;3.9;9.1843104E7
delegado 282: ;3.9;9.1583447E7
delegado 283: ;3.9;9.2157618E7
delegado 284: ;23.0;8.7406986E7
delegado 285: ;23.0;8.9918714E7
delegado 286: ;23.0;8.9367948E7
delegado 287: ;23.0;8.8136465E7
delegado 288: ;23.0;8.9023688E7
delegado 289: ;23.0;9.0923454E7
delegado 290: ;5.9;9.0647217E7
delegado 291: ;5.9;9.0964901E7
delegado 292: ;5.9;9.0577E7
delegado 293: ;5.9;8.9213128E7
delegado 294: ;5.9;1.04498533E8
delegado 295: ;2.1;1.03769541E8
delegado 296: ;2.1;1.0389559E8
delegado 297: ;2.1;1.01548923E8
delegado 298: ;2.1;1.02165273E8
delegado 299: ;2.1;1.04584841E8
delegado 300: ;2.1;1.02942539E8
delegado 301: ;9.9;1.02411765E8
delegado 302: ;9.9;1.04068208E8
delegado 303: ;9.9;1.04348833E8
delegado 304: ;9.9;9.1043407E7
delegado 305: ;9.9;9.1891865E7
delegado 306: ;4.1;9.1528833E7
delegado 307: ;4.1;9.0907362E7
delegado 308: ;4.1;9.1922341E7
delegado 309: ;4.1;9.2023767E7
delegado 310: ;4.1;9.1053404E7
delegado 311: ;5.8;9.1615629E7
delegado 312: ;5.8;9.1119477E7
delegado 313: ;5.8;9.3169185E7
delegado 314: ;5.8;9.1945748E7
delegado 315: ;5.8;9.3444446E7
delegado 316: ;5.8;9.1846029E7
delegado 317: ;5.9;9.3709223E7
delegado 318: ;5.9;9.0299545E7
delegado 319: ;5.9;9.1075103E7
delegado 320: ;5.9;9.106657E7
delegado 321: ;5.9;9.1391324E7
delegado 322: ;5.9;9.0586752E7
delegado 323: ;12.8;9.0988551E7
delegado 324: ;12.8;9.0940033E7
delegado 325: ;12.8;8.9474005E7
delegado 326: ;12.8;8.9591522E7
delegado 327: ;12.8;9.1428384E7
delegado 328: ;15.8;8.9020519E7
delegado 329: ;15.8;8.9101708E7
delegado 330: ;15.8;9.0263461E7
delegado 331: ;15.8;9.0721579E7
delegado 332: ;15.8;9.056676E7
delegado 333: ;2.8;9.1202859E7
delegado 334: ;2.8;9.1735827E7
delegado 335: ;2.8;9.1430822E7
delegado 336: ;2.8;1.04836453E8
delegado 337: ;2.8;1.0553643E8
delegado 338: ;2.8;1.02107979E8
delegado 339: ;3.8;1.03741503E8
delegado 340: ;3.8;1.05205337E8
delegado 341: ;3.8;1.03912658E8
delegado 342: ;3.8;8.9388184E7
delegado 343: ;3.8;9.0604307E7
